blocks,ci_high,ci_low,comparison,condition,dataset,delta,metric,seed
64,-0.21875,-0.546875,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.390625,hit_at_10,13
64,-0.19605003720238104,-0.4661160714285715,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.33225446428571426,evidence_recall_at_10,13
64,-0.18081597222222223,-0.46336805555555555,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.32339409722222223,mrr_at_10,13
64,-0.180653146652676,-0.42176337555505694,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.3019234962378261,ndcg_at_10,13
64,-0.296875,-0.609375,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.453125,selected_cluster_hit,13
64,-0.265625,-0.609375,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.4375,route_true_reward,13
64,0.4375,0.1875,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.3125,hit_at_10,13
64,0.25070870535714285,0.0872265625,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.16788194444444443,evidence_recall_at_10,13
64,0.36199001736111097,0.14583333333333331,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.2504340277777778,mrr_at_10,13
64,0.2557787515632259,0.09095845596480652,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.1716803189883513,ndcg_at_10,13
64,0.453125,0.203125,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.328125,selected_cluster_hit,13
64,0.453125,0.203125,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.328125,route_true_reward,13
48,0.625,0.2916666666666667,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4583333333333333,hit_at_10,17
48,0.5256944444444445,0.23888020833333337,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.3815972222222222,evidence_recall_at_10,17
48,0.5494791666666666,0.262109375,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.40434027777777776,mrr_at_10,17
48,0.47910482831212303,0.2350262847417344,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.3582400602714833,ndcg_at_10,17
48,0.6666666666666666,0.3333333333333333,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5,selected_cluster_hit,17
48,0.6458333333333334,0.3333333333333333,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5,route_true_reward,17
48,0.625,0.2916666666666667,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4583333333333333,hit_at_10,17
48,0.5208506944444442,0.23090277777777776,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.3746527777777778,evidence_recall_at_10,17
48,0.560286458333333,0.2503720238095238,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4066220238095238,mrr_at_10,17
48,0.48373286053363057,0.22594649560993868,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.3560354386893567,ndcg_at_10,17
48,0.6666666666666666,0.3333333333333333,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5,selected_cluster_hit,17
48,0.6666666666666666,0.3333333333333333,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5,route_true_reward,17
48,0.08333333333333333,-0.08333333333333333,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.0,hit_at_10,17
48,0.06597222222222222,-0.07291666666666667,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,-0.006944444444444443,evidence_recall_at_10,17
48,0.08680555555555554,-0.08333333333333333,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.002281746031746032,mrr_at_10,17
48,0.07004839607665418,-0.07174163514916417,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,-0.002204621582126558,ndcg_at_10,17
48,0.08333333333333333,-0.08333333333333333,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.0,selected_cluster_hit,17
48,0.08333333333333333,-0.08333333333333333,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.0,route_true_reward,17
48,-0.041666666666666664,-0.2916666666666667,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.16666666666666666,hit_at_10,17
48,-0.03262152777777802,-0.235078125,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.13159722222222223,evidence_recall_at_10,17
48,-0.008028273809523917,-0.23720238095238091,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.11964285714285715,mrr_at_10,17
48,-0.024658976419293727,-0.20708413156432226,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.11332810967765755,ndcg_at_10,17
48,-0.041666666666666664,-0.2916666666666667,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.16666666666666666,selected_cluster_hit,17
48,-0.041666666666666664,-0.2916666666666667,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.16666666666666666,route_true_reward,17
48,0.625,0.3333333333333333,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4791666666666667,hit_at_10,17
48,0.5031249999999999,0.23368055555555556,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.36944444444444446,evidence_recall_at_10,17
48,0.5520833333333334,0.27934027777777776,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4147569444444444,mrr_at_10,17
48,0.46405216050123194,0.2366993260816003,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.3523261928500583,ndcg_at_10,17
48,0.6666666666666666,0.3541666666666667,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5208333333333334,selected_cluster_hit,17
48,0.6666666666666666,0.375,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5208333333333334,route_true_reward,17
40,0.75,0.45,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.6041666666666666,hit_at_10,17
40,0.5904270833333333,0.3283333333333333,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.46125,evidence_recall_at_10,17
40,0.645252976190476,0.35088045634920634,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.49603174603174605,mrr_at_10,17
40,0.5771608702238628,0.3090766137847591,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.443102052347386,ndcg_at_10,17
40,0.7583333333333334,0.4666666666666667,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.6166666666666666,selected_cluster_hit,17
40,0.7583333333333334,0.4708333333333334,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.6166666666666666,route_true_reward,17
40,0.725,0.4291666666666667,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5833333333333334,hit_at_10,17
40,0.590421875,0.3279166666666667,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.46229166666666666,evidence_recall_at_10,17
40,0.6343353174603172,0.34681051587301587,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.48769841269841263,mrr_at_10,17
40,0.5769506721124164,0.3073683128947668,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.4424807016692676,ndcg_at_10,17
40,0.7375,0.4458333333333334,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5958333333333334,selected_cluster_hit,17
40,0.7375,0.45,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5958333333333334,route_true_reward,17
40,0.025,-0.08333333333333334,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,-0.020833333333333336,hit_at_10,17
40,0.03752604166666629,-0.0375,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,0.0010416666666666658,evidence_recall_at_10,17
40,0.03958333333333334,-0.07083333333333333,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,-0.008333333333333331,mrr_at_10,17
40,0.03717803698654629,-0.04388444525402041,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,-0.0006213506781184014,ndcg_at_10,17
