condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
repeated,lotte_science_search_100k,0.0,20,0.3525,1702.85,0.55,cluster_equal_noisy,0.5125,0.38213292650331554,A_recurrent_return,0.55,19,0.55,20
repeated,lotte_science_search_100k,0.0,20,0.0,1800.0,0.0,cluster_equal_noisy,0.0,0.0,A_recurrent_warmup_1,0.0,19,0.05,20
repeated,lotte_science_search_100k,0.0,20,0.0,1372.4,0.0,cluster_equal_noisy,0.0,0.0,A_recurrent_warmup_2,0.1,19,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.05,1758.2,0.1,cluster_equal_noisy,0.06,0.038331697113608676,B_recurrent_shift_1,0.1,19,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.1,1827.1,0.15,cluster_equal_noisy,0.10833333333333334,0.08739218331605207,B_recurrent_shift_2,0.15,19,0.15,20
unseen,lotte_science_search_100k,0.0,64,0.08958333333333333,1764.515625,0.21875,cluster_equal_noisy,0.17643229166666666,0.09937166739840425,unseen_tail,0.234375,19,0.25,64
nearby,lotte_science_search_100k,0.0,24,0.40902777777777777,1479.0416666666667,0.5416666666666666,cluster_oracle,0.5,0.41369870015105803,A_nearby,0.625,13,0.625,24
nearby,lotte_science_search_100k,0.0,24,0.7013888888888888,2137.5416666666665,0.8333333333333334,cluster_oracle,0.7142857142857143,0.6498864177862682,B_nearby,0.8333333333333334,13,0.8333333333333334,24
repeated,lotte_science_search_100k,0.0,20,0.57,1794.05,0.75,cluster_oracle,0.7071428571428572,0.5918797781139017,A_recurrent_return,0.75,13,0.75,20
repeated,lotte_science_search_100k,0.0,20,0.215,1854.1,0.3,cluster_oracle,0.3,0.23375616361068796,A_recurrent_warmup_1,0.3,13,0.3,20
repeated,lotte_science_search_100k,0.0,20,0.54,1801.4,0.7,cluster_oracle,0.6571428571428571,0.5625134806019401,A_recurrent_warmup_2,0.7,13,0.75,20
repeated,lotte_science_search_100k,0.0,20,0.6416666666666667,1991.3,0.8,cluster_oracle,0.6988095238095238,0.6157302788509389,B_recurrent_shift_1,0.8,13,0.8,20
repeated,lotte_science_search_100k,0.0,20,0.6416666666666667,1945.6,0.8,cluster_oracle,0.6979166666666666,0.6151824791523781,B_recurrent_shift_2,0.8,13,0.8,20
unseen,lotte_science_search_100k,0.0,64,0.22309027777777776,1980.140625,0.390625,cluster_oracle,0.3207465277777778,0.22416609201985155,unseen_tail,0.40625,13,0.40625,64
nearby,lotte_science_search_100k,0.0,24,0.375,1772.1666666666667,0.5416666666666666,cluster_oracle,0.4305555555555556,0.3484611647552234,A_nearby,0.625,17,0.625,24
nearby,lotte_science_search_100k,0.0,24,0.5152777777777777,2130.2916666666665,0.625,cluster_oracle,0.55,0.47952922601484615,B_nearby,0.6666666666666666,17,0.6666666666666666,24
repeated,lotte_science_search_100k,0.0,20,0.5041666666666667,1812.05,0.8,cluster_oracle,0.6446428571428572,0.5183105111143259,A_recurrent_return,0.8,17,0.8,20
repeated,lotte_science_search_100k,0.0,20,0.06916666666666667,1964.6,0.15,cluster_oracle,0.08214285714285714,0.06357617766179868,A_recurrent_warmup_1,0.15,17,0.15,20
repeated,lotte_science_search_100k,0.0,20,0.4916666666666667,1694.4,0.75,cluster_oracle,0.6321428571428571,0.5094576594917662,A_recurrent_warmup_2,0.75,17,0.75,20
repeated,lotte_science_search_100k,0.0,20,0.5291666666666667,1767.6,0.65,cluster_oracle,0.49047619047619045,0.4629439494936652,B_recurrent_shift_1,0.65,17,0.65,20
repeated,lotte_science_search_100k,0.0,20,0.5291666666666667,2010.05,0.65,cluster_oracle,0.49047619047619045,0.4623134205649515,B_recurrent_shift_2,0.65,17,0.65,20
unseen,lotte_science_search_100k,0.0,64,0.20520833333333333,1658.890625,0.359375,cluster_oracle,0.31212797619047616,0.22026613578942847,unseen_tail,0.40625,17,0.421875,64
nearby,lotte_science_search_100k,0.0,24,0.3284722222222222,1515.9166666666667,0.4583333333333333,cluster_oracle,0.4166666666666667,0.32694566333587743,A_nearby,0.4583333333333333,19,0.5,24
nearby,lotte_science_search_100k,0.0,24,0.32222222222222224,2046.5416666666667,0.5,cluster_oracle,0.4114583333333333,0.3208182637319717,B_nearby,0.5,19,0.5,24
repeated,lotte_science_search_100k,0.0,20,0.4475,1866.8,0.65,cluster_oracle,0.5875,0.46918538003244714,A_recurrent_return,0.7,19,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.435,1760.9,0.65,cluster_oracle,0.5875,0.45642378578640685,A_recurrent_warmup_1,0.65,19,0.65,20
repeated,lotte_science_search_100k,0.0,20,0.435,1984.0,0.65,cluster_oracle,0.5875,0.45648236554832955,A_recurrent_warmup_2,0.65,19,0.65,20
repeated,lotte_science_search_100k,0.0,20,0.23333333333333334,1967.55,0.35,cluster_oracle,0.25166666666666665,0.22256066536489993,B_recurrent_shift_1,0.35,19,0.35,20
repeated,lotte_science_search_100k,0.0,20,0.23333333333333334,2271.5,0.35,cluster_oracle,0.26,0.22657462590749056,B_recurrent_shift_2,0.35,19,0.35,20
unseen,lotte_science_search_100k,0.0,64,0.14830109126984126,1709.765625,0.3125,cluster_oracle,0.26458333333333334,0.1590267436435953,unseen_tail,0.328125,19,0.34375,64
nearby,lotte_science_search_100k,0.0,24,0.4097222222222222,1436.7083333333333,0.625,cluster_static_nearest,0.5260416666666666,0.39316795329726434,A_nearby,0.75,13,0.75,24
nearby,lotte_science_search_100k,0.0,24,0.7569444444444444,2040.5833333333333,0.875,cluster_static_nearest,0.7767857142857143,0.7027365838444712,B_nearby,0.875,13,0.875,24
repeated,lotte_science_search_100k,0.0,20,0.7116666666666667,1738.85,0.95,cluster_static_nearest,0.8205357142857143,0.6887661936793953,A_recurrent_return,0.95,13,0.95,20
repeated,lotte_science_search_100k,0.0,20,0.7116666666666667,1738.85,0.95,cluster_static_nearest,0.8205357142857143,0.6887661936793953,A_recurrent_warmup_1,0.95,13,0.95,20
repeated,lotte_science_search_100k,0.0,20,0.7116666666666667,1738.85,0.95,cluster_static_nearest,0.8205357142857143,0.6887661936793953,A_recurrent_warmup_2,0.95,13,0.95,20
repeated,lotte_science_search_100k,0.0,20,0.8216666666666667,2344.65,0.95,cluster_static_nearest,0.7708333333333334,0.7243992080726565,B_recurrent_shift_1,0.95,13,1.0,20
repeated,lotte_science_search_100k,0.0,20,0.8216666666666667,2344.65,0.95,cluster_static_nearest,0.7708333333333334,0.7243992080726565,B_recurrent_shift_2,0.95,13,1.0,20
unseen,lotte_science_search_100k,0.0,64,0.544345238095238,1715.796875,0.765625,cluster_static_nearest,0.6506510416666667,0.5243347929096853,unseen_tail,0.828125,13,0.84375,64
nearby,lotte_science_search_100k,0.0,24,0.4152777777777778,1606.5,0.5416666666666666,cluster_static_nearest,0.38511904761904764,0.3501287202716446,A_nearby,0.6666666666666666,17,0.6666666666666666,24
nearby,lotte_science_search_100k,0.0,24,0.7486111111111111,2028.7083333333333,0.9166666666666666,cluster_static_nearest,0.8184523809523809,0.7119363815323371,B_nearby,0.9166666666666666,17,0.9166666666666666,24
repeated,lotte_science_search_100k,0.0,20,0.6516666666666666,1718.25,0.9,cluster_static_nearest,0.7248412698412698,0.622021091917315,A_recurrent_return,0.9,17,0.9,20
repeated,lotte_science_search_100k,0.0,20,0.6516666666666666,1718.25,0.9,cluster_static_nearest,0.7248412698412698,0.622021091917315,A_recurrent_warmup_1,0.9,17,0.9,20
repeated,lotte_science_search_100k,0.0,20,0.6516666666666666,1718.25,0.9,cluster_static_nearest,0.7248412698412698,0.622021091917315,A_recurrent_warmup_2,0.9,17,0.9,20
repeated,lotte_science_search_100k,0.0,20,0.78,2087.65,0.9,cluster_static_nearest,0.7217261904761905,0.69485268133183,B_recurrent_shift_1,0.9,17,0.9,20
repeated,lotte_science_search_100k,0.0,20,0.78,2087.65,0.9,cluster_static_nearest,0.7217261904761905,0.69485268133183,B_recurrent_shift_2,0.9,17,0.9,20
unseen,lotte_science_search_100k,0.0,64,0.5609002976190476,1793.375,0.765625,cluster_static_nearest,0.665234375,0.5457884800714282,unseen_tail,0.84375,17,0.875,64
nearby,lotte_science_search_100k,0.0,24,0.37222222222222223,1582.5,0.5416666666666666,cluster_static_nearest,0.409375,0.3374587094792032,A_nearby,0.625,19,0.625,24
nearby,lotte_science_search_100k,0.0,24,0.5527777777777778,2212.0416666666665,0.7083333333333334,cluster_static_nearest,0.6458333333333334,0.5407701902411145,B_nearby,0.7083333333333334,19,0.7083333333333334,24
repeated,lotte_science_search_100k,0.0,20,0.5475,1726.15,0.75,cluster_static_nearest,0.6233928571428572,0.5247377815896588,A_recurrent_return,0.8,19,0.8,20
repeated,lotte_science_search_100k,0.0,20,0.5475,1726.15,0.75,cluster_static_nearest,0.6233928571428572,0.5247377815896588,A_recurrent_warmup_1,0.8,19,0.8,20
repeated,lotte_science_search_100k,0.0,20,0.5475,1726.15,0.75,cluster_static_nearest,0.6233928571428572,0.5247377815896588,A_recurrent_warmup_2,0.8,19,0.8,20
repeated,lotte_science_search_100k,0.0,20,0.7608333333333334,2273.75,0.9,cluster_static_nearest,0.6905555555555556,0.6678939411338987,B_recurrent_shift_1,0.9,19,0.9,20
repeated,lotte_science_search_100k,0.0,20,0.7608333333333334,2273.75,0.9,cluster_static_nearest,0.6905555555555556,0.6678939411338987,B_recurrent_shift_2,0.9,19,0.9,20
unseen,lotte_science_search_100k,0.0,64,0.5683407738095239,1847.625,0.796875,cluster_static_nearest,0.667578125,0.5427391144694211,unseen_tail,0.875,19,0.890625,64
nearby,lotte_science_search_100k,0.0,24,0.40902777777777777,1462.125,0.5416666666666666,cluster_trust_weighted,0.5,0.41369870015105803,A_nearby,0.625,13,0.625,24
nearby,lotte_science_search_100k,0.0,24,0.7013888888888888,2147.0,0.8333333333333334,cluster_trust_weighted,0.7142857142857143,0.6498864177862682,B_nearby,0.8333333333333334,13,0.8333333333333334,24
repeated,lotte_science_search_100k,0.0,20,0.5025,1779.15,0.7,cluster_trust_weighted,0.6571428571428571,0.5315860082925413,A_recurrent_return,0.7,13,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.0125,1821.05,0.05,cluster_trust_weighted,0.05,0.019519002499605084,A_recurrent_warmup_1,0.05,13,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.4775,1840.25,0.65,cluster_trust_weighted,0.6083333333333333,0.5018215982722759,A_recurrent_warmup_2,0.65,13,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.6166666666666667,2077.25,0.8,cluster_trust_weighted,0.6988095238095238,0.5963876384892117,B_recurrent_shift_1,0.8,13,0.8,20
repeated,lotte_science_search_100k,0.0,20,0.6416666666666667,2066.6,0.8,cluster_trust_weighted,0.6979166666666666,0.6151824791523781,B_recurrent_shift_2,0.8,13,0.8,20
unseen,lotte_science_search_100k,0.0,64,0.21209077380952382,1658.375,0.375,cluster_trust_weighted,0.3272569444444444,0.2224112966718593,unseen_tail,0.390625,13,0.390625,64
nearby,lotte_science_search_100k,0.0,24,0.3368055555555556,1712.75,0.4583333333333333,cluster_trust_weighted,0.375,0.3126608471685092,A_nearby,0.5416666666666666,17,0.5416666666666666,24
nearby,lotte_science_search_100k,0.0,24,0.5638888888888889,2272.0,0.6666666666666666,cluster_trust_weighted,0.5892857142857143,0.5227480352801573,B_nearby,0.7083333333333334,17,0.7083333333333334,24
