bm25_queried,condition,confidence,dataset,dense_queried,event_index,evidence_recall_at_10,final_context_k,final_context_tokens,final_true_reward,hit_at_10,method,mrr_at_10,ndcg_at_10,observed_reward,occurrence,phase,query_id,query_index,region,route,route_reason,route_true_reward,seed,selected_cluster_hit,semantic_drift
0,repeated,nan,lotte_technology_search_100k,1,33,1.0,10,2056.0,nan,1.0,dense,1.0,0.7977228895450266,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q439,439,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,34,0.6666666666666666,10,1309.0,nan,1.0,dense,1.0,0.7653606369886217,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q128,128,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,35,0.8,10,2229.0,nan,1.0,dense,1.0,0.8687949224876582,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q308,308,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,36,1.0,10,2665.0,nan,1.0,dense,0.5,0.6309297535714575,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q312,312,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,37,1.0,10,1687.0,nan,1.0,dense,1.0,1.0,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q304,304,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,38,0.6666666666666666,10,1857.0,nan,1.0,dense,1.0,0.735916889650613,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q378,378,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,39,1.0,10,2438.0,nan,1.0,dense,0.3333333333333333,0.48381288316677695,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q514,514,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,40,1.0,10,2451.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q419,419,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,41,0.5555555555555556,10,1359.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q425,425,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,42,1.0,10,2154.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q452,452,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,43,0.7,10,3327.0,nan,1.0,dense,1.0,0.7885497208855956,nan,1,A_nearby,lotte_technology_search_100k_q289,289,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,44,1.0,10,2532.0,nan,1.0,dense,1.0,0.9838048780283076,nan,1,A_nearby,lotte_technology_search_100k_q502,502,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,45,0.6666666666666666,10,1163.0,nan,1.0,dense,0.25,0.38364913903790027,nan,1,A_nearby,lotte_technology_search_100k_q278,278,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,46,1.0,10,1097.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q453,453,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,47,0.5,10,1049.0,nan,1.0,dense,0.3333333333333333,0.3065735963827292,nan,1,A_nearby,lotte_technology_search_100k_q14,14,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,48,1.0,10,1961.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q337,337,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,49,0.8,10,1545.0,nan,1.0,dense,1.0,0.8539316501572937,nan,1,A_nearby,lotte_technology_search_100k_q448,448,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,50,1.0,10,1410.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q372,372,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,51,0.0,10,1521.0,nan,0.0,dense,0.0,0.0,nan,1,A_nearby,lotte_technology_search_100k_q317,317,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,52,1.0,10,1252.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q401,401,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,53,0.6666666666666666,10,1728.0,nan,1.0,dense,1.0,0.7409096387260824,nan,1,A_nearby,lotte_technology_search_100k_q450,450,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,54,1.0,10,2654.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q433,433,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,55,1.0,10,1445.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q338,338,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,56,0.4,10,2041.0,nan,1.0,dense,1.0,0.5103515512676446,nan,1,A_nearby,lotte_technology_search_100k_q367,367,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,57,1.0,10,1442.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q588,588,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,58,0.8571428571428571,10,1496.0,nan,1.0,dense,1.0,0.9083745556952363,nan,1,A_nearby,lotte_technology_search_100k_q519,519,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,59,0.5,10,1475.0,nan,1.0,dense,0.3333333333333333,0.3065735963827292,nan,1,A_nearby,lotte_technology_search_100k_q112,112,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,60,1.0,10,1452.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q581,581,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,61,1.0,10,668.0,nan,1.0,dense,0.5,0.6240505200038379,nan,1,A_nearby,lotte_technology_search_100k_q75,75,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,62,0.8333333333333334,10,2315.0,nan,1.0,dense,1.0,0.8922108454754891,nan,1,A_nearby,lotte_technology_search_100k_q329,329,A,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,63,1.0,10,2260.0,nan,1.0,dense,1.0,1.0,nan,1,A_nearby,lotte_technology_search_100k_q540,540,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,64,1.0,10,6543.0,nan,1.0,dense,0.5,0.6309297535714575,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q592,592,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,65,1.0,10,1398.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q562,562,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,66,0.5714285714285714,10,859.0,nan,1.0,dense,0.5,0.4892050962442683,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q310,310,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,67,0.3333333333333333,10,1733.0,nan,1.0,dense,0.5,0.2974015077627249,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q531,531,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,68,1.0,10,1296.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q556,556,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,69,1.0,10,2501.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q585,585,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,70,1.0,10,1625.0,nan,1.0,dense,0.5,0.6240505200038379,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q551,551,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,71,1.0,10,2573.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q537,537,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,72,1.0,10,574.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q37,37,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,73,0.16666666666666666,10,1765.0,nan,1.0,dense,1.0,0.3026024134988135,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q520,520,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,74,0.5,10,1862.0,nan,1.0,dense,0.5,0.38685280723454163,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q547,547,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,75,1.0,10,1546.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q508,508,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,76,1.0,10,1743.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q541,541,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,77,0.25,10,1449.0,nan,1.0,dense,1.0,0.3903800499921017,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q260,260,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,78,1.0,10,1245.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q548,548,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,79,1.0,10,2614.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q431,431,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,80,1.0,10,1141.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q474,474,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,81,1.0,10,2470.0,nan,1.0,dense,1.0,0.9197207891481876,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q593,593,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,82,1.0,10,2142.0,nan,1.0,dense,1.0,1.0,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q570,570,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,83,0.5,10,809.0,nan,1.0,dense,1.0,0.6131471927654584,nan,1,B_recurrent_shift_1,lotte_technology_search_100k_q205,205,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,84,1.0,10,6543.0,nan,1.0,dense,0.5,0.6309297535714575,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q592,592,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,85,1.0,10,1398.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q562,562,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,86,0.5714285714285714,10,859.0,nan,1.0,dense,0.5,0.4892050962442683,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q310,310,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,87,0.3333333333333333,10,1733.0,nan,1.0,dense,0.5,0.2974015077627249,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q531,531,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,88,1.0,10,1296.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q556,556,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,89,1.0,10,2501.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q585,585,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,90,1.0,10,1625.0,nan,1.0,dense,0.5,0.6240505200038379,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q551,551,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,91,1.0,10,2573.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q537,537,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,92,1.0,10,574.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q37,37,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,93,0.16666666666666666,10,1765.0,nan,1.0,dense,1.0,0.3026024134988135,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q520,520,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,94,0.5,10,1862.0,nan,1.0,dense,0.5,0.38685280723454163,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q547,547,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,95,1.0,10,1546.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q508,508,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,96,1.0,10,1743.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q541,541,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,97,0.25,10,1449.0,nan,1.0,dense,1.0,0.3903800499921017,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q260,260,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,98,1.0,10,1245.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q548,548,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,99,1.0,10,2614.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q431,431,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,100,1.0,10,1141.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q474,474,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,101,1.0,10,2470.0,nan,1.0,dense,1.0,0.9197207891481876,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q593,593,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,102,1.0,10,2142.0,nan,1.0,dense,1.0,1.0,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q570,570,B,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,103,0.5,10,809.0,nan,1.0,dense,1.0,0.6131471927654584,nan,2,B_recurrent_shift_2,lotte_technology_search_100k_q205,205,B,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,104,1.0,10,1454.0,nan,1.0,dense,1.0,0.9828920819566879,nan,1,B_nearby,lotte_technology_search_100k_q553,553,B,dense,dense_only,nan,13,nan,nan
0,nearby,nan,lotte_technology_search_100k,1,105,1.0,10,1670.0,nan,1.0,dense,1.0,0.9223260797603763,nan,1,B_nearby,lotte_technology_search_100k_q513,513,B,dense,dense_only,nan,13,nan,nan
