blocks,ci_high,ci_low,comparison,condition,dataset,delta,metric,seed
64,0.013502807935135563,-0.005714368817150904,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.003445159206337251,ndcg_at_10,13
64,0.46875,0.21875,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.34375,selected_cluster_hit,13
64,0.46875,0.21875,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.34375,route_true_reward,13
64,51.78125,-124.765625,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,-36.359375,final_context_tokens,13
48,0.0,0.0,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.0,hit_at_10,17
48,0.049999999999999996,-0.012161458333333333,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.017013888888888887,evidence_recall_at_10,17
48,0.0,0.0,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.0,mrr_at_10,17
48,0.02315525043345294,-0.0070082498315270384,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.007670105291398642,ndcg_at_10,17
0,nan,nan,learned_feedback_minus_dense,nearby,lotte_science_search_100k,nan,selected_cluster_hit,17
0,nan,nan,learned_feedback_minus_dense,nearby,lotte_science_search_100k,nan,route_true_reward,17
48,150.72968749999998,-65.315625,learned_feedback_minus_dense,nearby,lotte_science_search_100k,44.541666666666664,final_context_tokens,17
48,0.0,0.0,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,0.0,hit_at_10,17
48,0.012499999999999997,-0.015625,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-0.0010416666666666675,evidence_recall_at_10,17
48,0.0,0.0,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,0.0,mrr_at_10,17
48,0.006689404547690587,-0.008515261528666794,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-0.0004691071728784851,ndcg_at_10,17
48,-0.0625,-0.3125,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-0.1875,selected_cluster_hit,17
48,-0.0625,-0.3125,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-0.1875,route_true_reward,17
48,27.544270833333297,-138.12760416666666,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-54.3125,final_context_tokens,17
48,0.0,0.0,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.0,hit_at_10,17
48,0.02708333333333333,-0.020833333333333332,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.002430555555555554,evidence_recall_at_10,17
48,0.0,0.0,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.0,mrr_at_10,17
48,0.014104965496421006,-0.011238502553450009,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.0014239601499396418,ndcg_at_10,17
48,0.6458333333333334,0.2916666666666667,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.4791666666666667,selected_cluster_hit,17
48,0.6458333333333334,0.3125,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.4791666666666667,route_true_reward,17
48,7.355729166666644,-191.91979166666667,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,-87.70833333333333,final_context_tokens,17
40,0.075,0.0,learned_feedback_minus_dense,repeated,lotte_science_search_100k,0.025,hit_at_10,17
40,0.049583333333333326,-0.025000000000000005,learned_feedback_minus_dense,repeated,lotte_science_search_100k,0.01333333333333333,evidence_recall_at_10,17
40,0.009375,-0.0013392857142857136,learned_feedback_minus_dense,repeated,lotte_science_search_100k,0.0026785714285714286,mrr_at_10,17
40,0.02513158025664565,-0.00856428730890515,learned_feedback_minus_dense,repeated,lotte_science_search_100k,0.008751801769832666,ndcg_at_10,17
0,nan,nan,learned_feedback_minus_dense,repeated,lotte_science_search_100k,nan,selected_cluster_hit,17
0,nan,nan,learned_feedback_minus_dense,repeated,lotte_science_search_100k,nan,route_true_reward,17
40,117.10187499999991,-207.05520833333335,learned_feedback_minus_dense,repeated,lotte_science_search_100k,-41.391666666666666,final_context_tokens,17
40,0.0,0.0,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,0.0,hit_at_10,17
40,0.0,-0.03958333333333333,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.01666666666666667,evidence_recall_at_10,17
40,0.0008333333333333332,-0.005327380952380951,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.0019047619047619043,mrr_at_10,17
40,0.0010804632799678113,-0.020562317357633957,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.008142847543897356,ndcg_at_10,17
40,-0.09166666666666667,-0.3666666666666667,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.22916666666666669,selected_cluster_hit,17
40,-0.09166666666666667,-0.37093750000000003,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.22916666666666669,route_true_reward,17
40,64.8172916666666,-154.98187499999997,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-42.966666666666654,final_context_tokens,17
40,0.0,0.0,learned_feedback_minus_cold_no_feedback,repeated,lotte_science_search_100k,0.0,hit_at_10,17
40,-0.0016666666666666676,-0.059583333333333335,learned_feedback_minus_cold_no_feedback,repeated,lotte_science_search_100k,-0.027083333333333338,evidence_recall_at_10,17
40,0.0009821428571428579,-0.0051785714285714265,learned_feedback_minus_cold_no_feedback,repeated,lotte_science_search_100k,-0.0017559523809523802,mrr_at_10,17
40,0.0002643996596277739,-0.029193975552623767,learned_feedback_minus_cold_no_feedback,repeated,lotte_science_search_100k,-0.012578423928149979,ndcg_at_10,17
40,0.725,0.4333333333333333,learned_feedback_minus_cold_no_feedback,repeated,lotte_science_search_100k,0.5833333333333334,selected_cluster_hit,17
40,0.725,0.4375,learned_feedback_minus_cold_no_feedback,repeated,lotte_science_search_100k,0.5833333333333334,route_true_reward,17
40,58.5845833333332,-197.30458333333334,learned_feedback_minus_cold_no_feedback,repeated,lotte_science_search_100k,-67.975,final_context_tokens,17
