condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
nearby,lotte_science_search_100k,1.0,24,0.7611111111111111,1801.5416666666667,0.875,static_nearest,0.7129629629629629,0.6602657967952483,A_nearby,0.625,19,0.625,24
nearby,lotte_science_search_100k,1.0,24,0.8472222222222222,2282.6666666666665,0.9583333333333334,static_nearest,0.8958333333333334,0.812360142133878,B_nearby,0.7083333333333334,19,0.7083333333333334,24
repeated,lotte_science_search_100k,1.0,20,0.7725,1878.3,0.9,static_nearest,0.8583333333333333,0.7691628218273467,A_recurrent_return,0.8,19,0.8,20
repeated,lotte_science_search_100k,1.0,20,0.7725,1878.3,0.9,static_nearest,0.8583333333333333,0.7691628218273467,A_recurrent_warmup_1,0.8,19,0.8,20
repeated,lotte_science_search_100k,1.0,20,0.7725,1878.3,0.9,static_nearest,0.8583333333333333,0.7691628218273467,A_recurrent_warmup_2,0.8,19,0.8,20
repeated,lotte_science_search_100k,1.0,20,0.8175,2289.25,0.95,static_nearest,0.7710317460317461,0.7277256725272301,B_recurrent_shift_1,0.9,19,0.9,20
repeated,lotte_science_search_100k,1.0,20,0.8175,2289.25,0.95,static_nearest,0.7710317460317461,0.7277256725272301,B_recurrent_shift_2,0.9,19,0.9,20
unseen,lotte_science_search_100k,1.0,64,0.8126860119047619,2083.703125,0.9375,static_nearest,0.7928385416666667,0.7394791118179034,unseen_tail,0.875,19,0.890625,64
nearby,lotte_technology_search_100k,1.0,24,0.8093253968253968,1790.875,0.9583333333333334,cold_no_feedback,0.8506944444444444,0.8014029340523706,A_nearby,0.20833333333333334,13,0.20833333333333334,24
nearby,lotte_technology_search_100k,1.0,24,0.7962962962962963,2162.0416666666665,0.9166666666666666,cold_no_feedback,0.734375,0.7024174666718981,B_nearby,0.125,13,0.125,24
repeated,lotte_technology_search_100k,1.0,20,0.8016666666666666,1940.85,0.95,cold_no_feedback,0.8516666666666667,0.7525271761618589,A_recurrent_return,0.25,13,0.25,20
repeated,lotte_technology_search_100k,1.0,20,0.8030555555555555,1832.7,0.95,cold_no_feedback,0.8516666666666667,0.7524785161948767,A_recurrent_warmup_1,0.05,13,0.05,20
repeated,lotte_technology_search_100k,1.0,20,0.8141666666666667,1909.95,0.95,cold_no_feedback,0.8516666666666667,0.7544981557954515,A_recurrent_warmup_2,0.15,13,0.15,20
repeated,lotte_technology_search_100k,1.0,20,0.810515873015873,1842.85,1.0,cold_no_feedback,0.875,0.7784981117582211,B_recurrent_shift_1,0.3,13,0.3,20
repeated,lotte_technology_search_100k,1.0,20,0.8033730158730159,1972.4,1.0,cold_no_feedback,0.875,0.774765088987977,B_recurrent_shift_2,0.2,13,0.2,20
unseen,lotte_technology_search_100k,1.0,64,0.6009300595238095,1435.703125,0.796875,cold_no_feedback,0.5693266369047619,0.5259949185885732,unseen_tail,0.15625,13,0.15625,64
nearby,lotte_technology_search_100k,1.0,24,0.8046957671957672,1874.9166666666667,0.9583333333333334,cold_no_feedback,0.8506944444444444,0.7961961258922583,A_nearby,0.08333333333333333,17,0.08333333333333333,24
nearby,lotte_technology_search_100k,1.0,24,0.7962962962962963,2090.375,0.9166666666666666,cold_no_feedback,0.7361111111111112,0.7026392280244524,B_nearby,0.16666666666666666,17,0.16666666666666666,24
repeated,lotte_technology_search_100k,1.0,20,0.8391666666666666,1936.65,0.95,cold_no_feedback,0.8516666666666667,0.7689524747537179,A_recurrent_return,0.15,17,0.15,20
repeated,lotte_technology_search_100k,1.0,20,0.7975,1764.35,0.95,cold_no_feedback,0.8516666666666667,0.7473638490262452,A_recurrent_warmup_1,0.1,17,0.1,20
repeated,lotte_technology_search_100k,1.0,20,0.8391666666666666,1909.75,0.95,cold_no_feedback,0.8516666666666667,0.769419356509196,A_recurrent_warmup_2,0.05,17,0.05,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1704.35,1.0,cold_no_feedback,0.875,0.7823461605126144,B_recurrent_shift_1,0.1,17,0.1,20
