hit@10,hit_delta_vs_dense_pp,method,policy,seed_rows,split,token_saving_vs_dense_pct,tokens
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.97_m5,1,calibration,11.030120641353792,1314.68156424581
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.97_m6,1,calibration,11.030120641353792,1314.68156424581
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.97_m7,1,calibration,11.030120641353792,1314.68156424581
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.97_m8,1,calibration,10.987777076252458,1315.3072625698323
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.98_m4,1,calibration,10.6267225702544,1320.6424581005588
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.98_m5,1,calibration,10.6267225702544,1320.6424581005588
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.98_m6,1,calibration,10.6267225702544,1320.6424581005588
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.98_m7,1,calibration,10.6267225702544,1320.6424581005588
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.98_m8,1,calibration,10.584379005153066,1321.268156424581
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.99_m4,1,calibration,9.897430274892926,1331.4189944134077
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.99_m5,1,calibration,9.897430274892926,1331.4189944134077
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.99_m6,1,calibration,9.897430274892926,1331.4189944134077
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.99_m7,1,calibration,9.897430274892926,1331.4189944134077
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.99_m8,1,calibration,9.897430274892926,1331.4189944134077
0.8603351955307262,0.0,dense,token_budget_r1.00_m4,1,calibration,0.0,1477.6703910614526
0.8603351955307262,0.0,dense,token_budget_r1.00_m5,1,calibration,0.0,1477.6703910614526
0.8603351955307262,0.0,dense,token_budget_r1.00_m6,1,calibration,0.0,1477.6703910614526
0.8603351955307262,0.0,dense,token_budget_r1.00_m7,1,calibration,0.0,1477.6703910614526
0.8603351955307262,0.0,dense,token_budget_r1.00_m8,1,calibration,0.0,1477.6703910614526
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.80_m4,3,calibration,24.450636350690417,1116.3705772811918
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.80_m5,3,calibration,24.342383010148595,1117.9702048417132
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.80_m6,3,calibration,23.838671016963893,1125.4134078212292
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.80_m7,3,calibration,21.248026172355956,1163.6945996275606
0.8472998137802608,-1.3035381750465518,intentroute,token_budget_r0.80_m8,3,calibration,16.067492618231178,1240.2458100558658
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.81_m4,3,calibration,23.422922739376627,1131.556797020484
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.81_m5,3,calibration,23.394189605915,1131.9813780260708
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.81_m6,3,calibration,22.955253185534133,1138.467411545624
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.81_m7,3,calibration,20.79623545542647,1170.3705772811918
0.8472998137802608,-1.3035381750465518,intentroute,token_budget_r0.81_m8,3,calibration,16.019352017431444,1240.9571694599626
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.82_m4,3,calibration,22.589031756413604,1143.87895716946
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.82_m5,3,calibration,22.566347703680748,1144.214152700186
