protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry_all_queries,17,same_arm_boost,596,,0,0.8238255033557047,0.0,0.003355704697986628,,,1584.748322147651,0.9706495935544205,2.9350406445579513
same_query_retry_all_queries,17,same_arm_boost_conservative,596,,0,0.8238255033557047,0.0,0.003355704697986628,,,1585.1879194630872,0.9709188444818974,2.908115551810264
same_query_retry_all_queries,17,same_full_context,596,,0,0.8238255033557047,0.0,0.003355704697986628,,,1586.7030201342282,0.9718468352739268,2.815316472607321
calibration_to_test,17,budgeted_before_feedback,417,,3,0.8369304556354916,0.0023980815347721673,0.0,,,1604.2589928057555,0.972112873764653,2.788712623534695
calibration_to_test,17,generalized_arm_boost,417,,3,0.8393285371702638,0.004796163069544335,0.0023980815347721673,,,1586.2398081534773,0.9611940124998728,3.8805987500127204
calibration_to_test,17,generalized_arm_boost_conservative,417,,3,0.841726618705036,0.007194244604316502,0.004796163069544335,,,1597.779376498801,0.9681865012417044,3.1813498758295644
calibration_to_test,17,generalized_conservative_budget,417,,3,0.8393285371702638,0.004796163069544335,0.0023980815347721673,,,1590.4700239808153,0.9637573437842849,3.6242656215715097
calibration_to_test,17,generalized_full_context,417,,3,0.8441247002398081,0.00959232613908867,0.007194244604316502,,,1621.7865707434053,0.9827338422214374,1.7266157778562552
same_query_retry,19,budgeted_before_feedback,,5,,0.0,,,0,0,1375.4,0.9392242556678503,6.077574433214972
same_query_retry,19,same_arm_boost,,5,,0.8,,,4,0,1288.4,0.8798142583993445,12.018574160065555
same_query_retry,19,same_arm_boost_conservative,,5,,0.8,,,4,0,1419.4,0.9692706910680142,3.0729308931985777
same_query_retry,19,same_full_context,,5,,0.8,,,4,0,1529.6,1.0445233542747883,-4.452335427478826
same_query_retry_all_queries,19,budgeted_before_feedback,596,,0,0.8154362416107382,-0.008389261744966459,0.0,,,1576.8976510067114,0.9658411008457767,3.415889915422332
same_query_retry_all_queries,19,same_arm_boost,596,,0,0.8221476510067114,-0.001677852348993314,0.006711409395973145,,,1576.1677852348994,0.9653940620921414,3.4605937907858597
same_query_retry_all_queries,19,same_arm_boost_conservative,596,,0,0.8221476510067114,-0.001677852348993314,0.006711409395973145,,,1577.2667785234898,0.9660671894108337,3.3932810589166307
same_query_retry_all_queries,19,same_full_context,596,,0,0.8221476510067114,-0.001677852348993314,0.006711409395973145,,,1578.1912751677853,0.9666334384987719,3.3366561501228076
calibration_to_test,19,budgeted_before_feedback,417,,1,0.8249400479616307,-0.00959232613908878,0.0,,,1588.2541966426859,0.962414646444831,3.758535355516901
calibration_to_test,19,generalized_arm_boost,417,,1,0.829736211031175,-0.004796163069544446,0.004796163069544335,,,1575.928057553957,0.9549455292102063,4.505447078979374
calibration_to_test,19,generalized_arm_boost_conservative,417,,1,0.829736211031175,-0.004796163069544446,0.004796163069544335,,,1581.6354916067146,0.9584039920542542,4.1596007945745805
calibration_to_test,19,generalized_conservative_budget,417,,1,0.829736211031175,-0.004796163069544446,0.004796163069544335,,,1580.2062350119904,0.9575379232075935,4.246207679240655
calibration_to_test,19,generalized_full_context,417,,1,0.829736211031175,-0.004796163069544446,0.004796163069544335,,,1597.1223021582734,0.9677883420739443,3.2211657926055737
