calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,fold,hit@10,hit_delta_pp,method,saving_pct,scale,seed,selected_policy,test_queries
True,-3.700743415417188e-15,477,18.545762146448403,3,0.8151260504201681,-2.5210084033613467,intentroute,16.8570652173913,400k,19,token_budget_r0.85_m5,119
False,-0.41928721174004924,477,11.326327829008509,3,0.8403361344537815,0.0,dense,0.0,400k,,dense_top10_fallback,119
True,0.0,477,11.057351245898728,4,0.7478991596638656,5.042016806722693,intentroute,8.173285019972543,400k,13,token_budget_r0.92_m8,119
True,0.0,477,11.057351245898728,4,0.7142857142857143,1.6806722689075682,intentroute,10.970678077194195,400k,17,token_budget_r0.92_m8,119
True,0.0,477,11.057351245898728,4,0.7226890756302521,2.5210084033613467,intentroute,7.337282497124697,400k,19,token_budget_r0.92_m8,119
False,-0.6289308176100628,477,11.812206260530267,4,0.6974789915966386,0.0,dense,0.0,400k,,dense_top10_fallback,119
True,0.3501400560224114,476,11.490379749079116,0,0.65,2.500000000000002,intentroute,16.561690847067524,638k,13,token_budget_r0.85_m8,120
True,0.3501400560224114,476,11.490379749079116,0,0.6583333333333333,3.3333333333333326,intentroute,17.382146233200444,638k,17,token_budget_r0.85_m8,120
True,0.3501400560224114,476,11.490379749079116,0,0.6416666666666667,1.6666666666666718,intentroute,17.932883975175695,638k,19,token_budget_r0.85_m8,120
False,-1.2605042016806678,476,11.625463007664205,0,0.625,0.0,dense,0.0,638k,,dense_top10_fallback,120
True,0.7686932215234126,477,17.15434224554719,1,0.8151260504201681,-0.8403361344537785,intentroute,15.121778871907088,638k,13,token_budget_r0.85_m4,119
True,0.7686932215234126,477,17.15434224554719,1,0.8067226890756303,-1.680672268907557,intentroute,14.681847710876339,638k,17,token_budget_r0.85_m4,119
True,0.7686932215234126,477,17.15434224554719,1,0.8151260504201681,-0.8403361344537785,intentroute,13.994597736519976,638k,19,token_budget_r0.85_m4,119
False,-1.0482180293501009,477,11.291696364203785,1,0.8235294117647058,0.0,dense,0.0,638k,,dense_top10_fallback,119
True,0.6289308176100628,477,16.38825753396444,2,0.7394957983193278,0.0,intentroute,17.11157076391038,638k,13,token_budget_r0.85_m4,119
