seed,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,contrast,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_dense_saving_pct,method_hit@10,method_label,method_only_hits,method_run_id,method_score_threshold,method_selector,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,reference_dense_saving_pct,reference_score_threshold,reference_selector,saving_target_pct,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
13,0.8705035971223022,2,random_feedback:target5,1394.3501199040768,geometry_effect_feedback,0.006164201718189558,-0.005121029538512793,0.0008014680955638532,0.0,-0.011990407673860911,-0.004796163069544364,2,415,0,0.5,3.9954978467962885,0.8657074340527577,geometry_feedback,0,geometry_feedback:target5,0.9301249198330068,geometry_feedback,1411.8705035971223,-0.000539568345323741,0.0018995785265700181,False,0.0,417,5.1511592500761205,0.6947486705214504,random_feedback,5.0,100k,44.71888489208632,-6.962410071942445,17.520383693045563,0,54,2,0.12949640287769784,1.0125652685383286,7.40443645083932,-46.49526378896882,-17.520383693045563,-1.2565268538328622,0.94037436567757
17,0.8657074340527577,0,random_feedback:target5,1386.9544364508392,geometry_effect_feedback,0.010309027371325804,0.0003922097058880747,0.005250765800257242,0.011990407673860911,0.0,0.004796163069544364,0,415,2,0.5,3.9954978467962885,0.8705035971223022,geometry_feedback,2,geometry_feedback:target5,0.893437709139039,geometry_feedback,1411.021582733813,0.0005662136957100986,0.003826191060689385,True,0.0,417,5.1511592500761205,0.6896125079221331,random_feedback,5.0,100k,46.5199040767386,2.651558752997603,24.06714628297362,0,48,0,0.11510791366906475,1.017352514005118,-1.8573741007194438,-45.50197841726618,-24.06714628297362,-1.7352514005118058,0.9915435222620381
19,0.8657074340527577,1,random_feedback:target5,1401.8705035971223,geometry_effect_feedback,0.011775322912292647,-0.004324387892283576,0.003505625116267636,0.009592326139088728,-0.004796163069544364,0.002398081534772182,1,414,2,1.0,3.9954978467962885,0.86810551558753,geometry_feedback,2,geometry_feedback:target5,0.9159969741897146,geometry_feedback,1411.2517985611512,0.00032640554223288033,0.003259910006165374,False,0.0,417,5.1511592500761205,0.7273484368071328,random_feedback,5.0,100k,26.67464028776978,-7.173741007194242,9.381294964028777,0,63,1,0.1510791366906475,1.0066919839885047,8.0,-26.304376498800956,-9.381294964028777,-0.669198398850468,0.6714797935668095
13,0.8657074340527577,3,random_feedback:target10,1332.707434052758,geometry_effect_feedback,0.011782945937622191,-0.003980507227297726,0.0037693967829170007,0.004796163069544364,-0.014388489208633094,-0.004796163069544364,3,413,1,0.625,9.506448736352166,0.8609112709832134,geometry_feedback,1,geometry_feedback:target10,0.38951424724665046,geometry_feedback,1329.6235011990407,-0.00045297095656807895,0.004270166541098975,False,0.0,417,10.585388664143712,0.6201407551366837,random_feedback,10.0,100k,24.679376498800927,-29.434892086330933,-3.0839328537170263,0,265,3,0.6354916067146283,0.9976859640946558,28.51690647482007,-24.547601918465226,3.0839328537170263,0.23140359053441806,0.0004634238751966491
17,0.8585131894484412,4,random_feedback:target10,1286.841726618705,geometry_effect_feedback,0.016175590315924596,-0.0008572293531050651,0.007527818616878403,0.016786570743405275,-0.011990407673860911,0.002398081534772182,4,408,5,1.0,9.506448736352166,0.8609112709832134,geometry_feedback,5,geometry_feedback:target10,0.3354609640230188,geometry_feedback,1332.904076738609,0.00048247116592440323,0.00584877179809023,False,0.0,417,10.585388664143712,0.5799361993103358,random_feedback,10.0,100k,82.6604916067146,13.864268585131898,46.062350119904075,0,236,4,0.565947242206235,1.0357948838362097,-12.713069544364517,-83.8099520383693,-46.062350119904075,-3.5794883836209657,0.6835958424537234
19,0.8561151079136691,2,random_feedback:target10,1323.9568345323742,geometry_effect_feedback,0.018082347079494184,-0.00025260423099048604,0.008479438273534031,0.016786570743405275,-0.007194244604316547,0.004796163069544364,2,411,4,0.6875,9.506448736352166,0.8609112709832134,geometry_feedback,4,geometry_feedback:target10,0.38713739041778533,geometry_feedback,1328.5635491606715,0.0006528110844657607,0.006185650365217778,False,0.0,417,10.585388664143712,0.6163558873067024,random_feedback,10.0,100k,43.35965227817742,-32.50047961630695,4.606714628297362,0,264,2,0.6330935251798561,1.0034795051531453,30.36882494004794,-41.492386091127095,-4.606714628297362,-0.34795051531453236,0.009617760675435922
13,0.8561151079136691,4,random_feedback:target15,1272.757793764988,geometry_effect_feedback,0.012930405675459628,-0.0074003297362110285,0.0028258345704388873,0.011990407673860911,-0.014388489208633094,0.0,4,409,4,1.0,13.796272130149202,0.8561151079136691,geometry_feedback,4,geometry_feedback:target15,0.7541204010831316,geometry_feedback,1271.326139088729,-0.0001256137946785429,0.002352291310214025,False,0.0,417,14.23713515159423,0.48997444330774675,random_feedback,15.0,100k,37.20431654676259,-36.454616306954435,-1.4316546762589928,0,95,4,0.2278177458033573,0.9988751554433432,36.21055155875295,-38.01025179856113,1.4316546762589928,0.11248445566568455,0.2583894835998309
17,0.8609112709832134,6,random_feedback:target15,1248.4604316546763,geometry_effect_feedback,0.006965320600662325,-0.01499232756651821,-0.0030723040615126943,0.0,-0.023980815347721823,-0.011990407673860911,6,410,1,0.125,13.796272130149202,0.8489208633093526,geometry_feedback,1,geometry_feedback:target15,0.709152257364208,geometry_feedback,1266.9112709832134,-0.0014645426515930112,0.00048394376975283474,False,0.0,417,14.23713515159423,0.454683097301959,random_feedback,15.0,100k,51.6142086330935,-11.983273381294962,18.45083932853717,0,89,6,0.21342925659472423,1.0147788739320178,12.639448441246994,-51.54976019184652,-18.45083932853717,-1.4778873932017822,0.8194601859088843
19,0.8513189448441247,4,random_feedback:target15,1261.232613908873,geometry_effect_feedback,0.008955264359940606,-0.012141179913212287,-0.0012432910814205787,0.009592326139088728,-0.014388489208633094,-0.002398081534772182,4,410,3,1.0,13.796272130149202,0.8489208633093526,geometry_feedback,3,geometry_feedback:target15,0.7292100693809664,geometry_feedback,1263.6570743405275,-0.00033211526017281413,0.0007057025968869647,False,0.0,417,14.23713515159423,0.4693940846092788,random_feedback,15.0,100k,40.856115107913666,-33.21432853717026,2.4244604316546763,0,88,4,0.21103117505995203,1.0019222944323811,33.37715827338115,-38.098681055155865,-2.4244604316546763,-0.1922294432381122,0.6363127754555928
13,0.8537170263788969,0,random_feedback:target20,1207.7985611510792,geometry_effect_feedback,0.0,-0.0017985611510791368,-0.0005995203836930455,0.0,0.0,0.0,0,417,0,1.0,18.32941841750402,0.8537170263788969,geometry_feedback,0,geometry_feedback:target20,0.38951424724665046,geometry_feedback,1200.9520383693045,0.0,-0.00036215735786044434,True,0.0,417,17.943255470007387,0.27194779812665276,random_feedback,20.0,100k,9.065587529976016,-27.823441247002393,-6.84652278177458,0,36,0,0.08633093525179857,0.994331403429352,27.91252997601918,-9.26768585131894,6.84652278177458,0.5668596570647999,0.27504316714770055
