run_id,source_label,method,seed,num_queries,num_skipped_no_gt,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
task25_cluster:gated_cost_aware:seed13,task25_cluster,gated_cost_aware,13,596,0,1.0,10.0,5.0,176.25838926174498,1550.484899328859,827.5553691275168,0.0,0.0,0.0,14.617449664429557,78.09731543624162,57.036912751677846,1.0904316053893586,1.0530412754702618,1.0740240707795021,0.2857844519099147,0.6830576872053097,0.5948074416679775,0.6191275167785235,0.8758389261744967,0.8221476510067114,-0.011744966442952975,0.008389261744966459,0.011744966442952975,1523.0,13078.0,6240.0,116.0,1395.5,714.5,0.6191275167785235,0.7023696335357407,0.6953859060402682,0.6191275167785235,0.6237030627020236,0.6046706350703687,514.0,2946.25,1782.0,0.6191275167785235,0.8758389261744967,0.8221476510067114
task25_cluster:gated_cost_aware:seed17,task25_cluster,gated_cost_aware,17,596,0,1.0,10.0,5.0,170.46476510067114,1530.0989932885907,811.8808724832214,0.0,0.0,0.0,8.823825503355721,57.711409395973305,41.3624161073825,1.0545890510494302,1.0391958000918475,1.0536812788390977,0.297226472789855,0.6795733425687431,0.6004401711681571,0.6359060402684564,0.8758389261744967,0.8288590604026845,0.005033557046979942,0.008389261744966459,0.01845637583892612,2133.0,13811.0,7712.0,111.0,1379.5,688.5,0.6359060402684564,0.713027325023969,0.7068512304250557,0.6359060402684564,0.6314781409990289,0.6145892021303231,512.25,3000.75,1798.25,0.6359060402684564,0.8758389261744967,0.8288590604026845
task25_cluster:gated_cost_aware:seed19,task25_cluster,gated_cost_aware,19,596,0,1.0,10.0,5.0,179.2734899328859,1571.3708053691275,838.4177852348994,0.0,0.0,0.0,17.63255033557047,98.98322147651015,67.89932885906046,1.1090846810189126,1.0672263353476696,1.0881216125288256,0.2928081282708394,0.6862003312875508,0.5978225906367542,0.6409395973154363,0.87751677852349,0.8204697986577181,0.010067114093959773,0.010067114093959773,0.010067114093959662,2133.0,14354.0,7410.0,116.0,1401.0,700.0,0.6409395973154363,0.7166440289762437,0.7088087248322148,0.6409395973154363,0.6332151626827568,0.6133760649128527,511.0,3095.0,1853.25,0.6409395973154363,0.87751677852349,0.8204697986577181
task26_B:gated_cost_aware:seed13,task26_B,gated_cost_aware,13,596,0,1.0,10.0,5.0,181.64429530201343,1503.5771812080536,788.7248322147651,0.0,0.0,0.0,20.00335570469801,31.18959731543623,18.206375838926192,1.123751790570699,1.0211830075563249,1.023628734248055,0.28875731331398413,0.6658176332622351,0.5738156445016837,0.62248322147651,0.8624161073825504,0.8070469798657718,-0.008389261744966459,-0.005033557046979831,-0.003355704697986628,1523.0,14248.0,7410.0,119.0,1321.5,669.5,0.62248322147651,0.7027897624374133,0.6953299776286352,0.62248322147651,0.6178013592915491,0.5960777343665958,511.0,2978.25,1687.75,0.62248322147651,0.8624161073825504,0.8070469798657718
task26_B:gated_cost_aware:seed17,task26_B,gated_cost_aware,17,596,0,1.0,10.0,5.0,173.68959731543623,1516.3003355704698,803.7214765100671,0.0,0.0,0.0,12.048657718120808,43.912751677852384,33.203020134228154,1.0745396416782578,1.0298241795558736,1.043091790805894,0.29511444890769684,0.641853502751588,0.5672396678124523,0.6291946308724832,0.8523489932885906,0.802013422818792,-0.001677852348993314,-0.015100671140939603,-0.008389261744966459,2133.0,13811.0,7712.0,115.0,1362.5,683.0,0.6291946308724832,0.7006232023010543,0.6942673378076061,0.6291946308724832,0.6048293335532697,0.58977442055599,511.0,2906.0,1819.25,0.6291946308724832,0.8523489932885906,0.802013422818792
task26_B:gated_cost_aware:seed19,task26_B,gated_cost_aware,19,596,0,1.0,10.0,5.0,179.39261744966444,1532.9261744966443,805.1644295302013,0.0,0.0,0.0,17.75167785234902,60.53859060402692,34.64597315436242,1.1098216695385,1.0411159339200473,1.0449644948380874,0.2855679411648805,0.6441866542487058,0.5638810963554943,0.6208053691275168,0.8590604026845637,0.8087248322147651,-0.010067114093959662,-0.008389261744966459,-0.001677852348993314,2133.0,14354.0,7410.0,116.0,1376.0,694.0,0.6208053691275168,0.7010220251411525,0.6940715883668903,0.6208053691275168,0.602338084529484,0.5845060710522969,525.0,2967.25,1742.5,0.6208053691275168,0.8590604026845637,0.8087248322147651
task26_E:gated_cost_aware:seed13,task26_E,gated_cost_aware,13,596,0,1.0,10.0,5.0,175.01174496644296,1540.9546979865772,805.1644295302013,0.0,0.0,0.0,13.370805369127538,68.56711409395984,34.64597315436242,1.0827191762336774,1.0465686581740155,1.0449644948380874,0.28478972516015444,0.6641900499022697,0.5747877335610211,0.6157718120805369,0.8657718120805369,0.8120805369127517,-0.015100671140939603,-0.001677852348993314,0.001677852348993314,1523.0,13078.0,6240.0,116.0,1389.5,684.5,0.6157718120805369,0.7003175934803448,0.6933445190156596,0.6157718120805369,0.613205724603761,0.5938515685659133,511.0,2929.25,1801.0,0.6157718120805369,0.8657718120805369,0.8120805369127517
task26_E:gated_cost_aware:seed17,task26_E,gated_cost_aware,17,596,0,1.0,10.0,5.0,171.03187919463087,1502.3255033557048,799.6442953020135,0.0,0.0,0.0,9.390939597315452,29.937919463087383,29.125838926174538,1.0580975316074654,1.0203329067635434,1.0378003131335347,0.2975772964628264,0.6583210909054178,0.5777542091994767,0.6325503355704698,0.8708053691275168,0.8171140939597316,0.001677852348993314,0.003355704697986628,0.006711409395973145,2133.0,13811.0,7712.0,111.0,1343.0,675.0,0.6325503355704698,0.7106696761478639,0.7037751677852346,0.6325503355704698,0.617068495241439,0.5999626411908203,512.25,2906.0,1696.25,0.6325503355704698,0.8708053691275168,0.8171140939597316
task26_E:gated_cost_aware:seed19,task26_E,gated_cost_aware,19,596,0,1.0,10.0,5.0,183.39093959731542,1547.775167785235,821.0956375838927,0.0,0.0,0.0,21.75,75.38758389261761,50.57718120805373,1.1345574954846478,1.0512009098129664,1.0656404538911959,0.2996034302842622,0.6538426279357198,0.5720140195471424,0.6493288590604027,0.8624161073825504,0.8171140939597316,0.01845637583892623,-0.005033557046979831,0.006711409395973145,2133.0,14354.0,7410.0,117.5,1362.5,689.5,0.6493288590604027,0.7178964259081708,0.7117170022371364,0.6493288590604027,0.6163650631317463,0.5992544176276194,517.75,3033.0,1862.75,0.6493288590604027,0.8624161073825504,0.8171140939597316
task27_B:gated_cost_aware:seed13,task27_B,gated_cost_aware,13,596,0,1.0,10.0,5.0,168.23657718120805,1467.996644295302,758.3137583892617,0.0,0.0,0.0,6.595637583892625,-4.39093959731531,-12.20469798657723,1.0408042516971496,0.9970178099534724,0.9841604079881714,0.29137462981552875,0.6572615850040057,0.5763017955616604,0.62751677852349,0.8573825503355704,0.802013422818792,-0.003355704697986517,-0.010067114093959773,-0.008389261744966459,1520.0,8208.0,6340.0,107.0,1301.0,648.0,0.62751677852349,0.7045302013422817,0.6970078299776284,0.62751677852349,0.6196953672832531,0.6038912719276807,480.0,2936.5,1718.75,0.62751677852349,0.8573825503355704,0.802013422818792
task27_B:gated_cost_aware:seed17,task27_B,gated_cost_aware,17,596,0,1.0,10.0,5.0,166.81543624161074,1485.9144295302012,773.521812080537,0.0,0.0,0.0,5.174496644295317,13.526845637583847,3.0033557046980377,1.0320122900620732,1.009187014197595,1.0038978374623555,0.2912008522508117,0.6385081787057609,0.56838393042903,0.62751677852349,0.8473154362416108,0.7953020134228188,-0.003355704697986517,-0.020134228187919434,-0.015100671140939603,2133.0,7771.0,6597.0,104.0,1325.5,655.5,0.62751677852349,0.7019581602215829,0.6946868008948545,0.62751677852349,0.6071421477777535,0.5947477858218364,512.25,2941.0,1763.75,0.62751677852349,0.8473154362416108,0.7953020134228188
task27_B:gated_cost_aware:seed19,task27_B,gated_cost_aware,19,596,0,1.0,10.0,5.0,165.11409395973155,1483.6073825503356,770.9916107382551,0.0,0.0,0.0,3.4731543624161247,11.21979865771823,0.47315436241615316,1.0214868483879675,1.007620139411972,1.0006140727175332,0.2833148251533752,0.6383253521177326,0.5661258208093431,0.6124161073825504,0.8557046979865772,0.8036912751677853,-0.01845637583892612,-0.011744966442952975,-0.006711409395973145,1520.0,8314.0,3821.0,106.5,1336.0,663.0,0.6124161073825504,0.6924130446361988,0.6851230425055926,0.6124161073825504,0.599393040954124,0.5856215256312954,511.0,2981.5,1746.25,0.6124161073825504,0.8557046979865772,0.8036912751677853
task27_C:gated_cost_aware:seed13,task27_C,gated_cost_aware,13,596,0,1.0,10.0,5.0,170.85570469798657,1516.1895973154362,774.248322147651,0.0,0.0,0.0,9.214765100671144,43.802013422818845,3.729865771812115,1.0570076190080757,1.0297489695661637,1.0048407221669364,0.29166425909005733,0.6415107460778311,0.568340652491457,0.62751677852349,0.8640939597315436,0.8137583892617449,-0.003355704697986517,-0.003355704697986628,0.003355704697986517,1520.0,8208.0,6340.0,108.0,1358.0,656.5,0.62751677852349,0.707074278257164,0.7001677852348991,0.62751677852349,0.6054545165622577,0.5939357808069995,511.0,3024.75,1752.25,0.62751677852349,0.8640939597315436,0.8137583892617449
task27_C:gated_cost_aware:seed17,task27_C,gated_cost_aware,17,596,0,1.0,10.0,5.0,164.46308724832215,1480.6510067114093,777.1577181208054,0.0,0.0,0.0,2.8221476510067305,8.263422818791923,6.639261744966461,1.0174593618302228,1.0056122605957771,1.0086166161109165,0.29395732396701485,0.6445524420486816,0.5761979285114844,0.6325503355704698,0.8540268456375839,0.8036912751677853,0.001677852348993314,-0.01342281879194629,-0.006711409395973145,2133.0,8941.0,6597.0,104.0,1326.5,651.5,0.6325503355704698,0.7075350218387131,0.7004753914988814,0.6325503355704698,0.6140588454519873,0.6024969730754229,501.25,3013.5,1739.0,0.6325503355704698,0.8540268456375839,0.8036912751677853
task27_C:gated_cost_aware:seed19,task27_C,gated_cost_aware,19,596,0,1.0,10.0,5.0,165.59060402684563,1485.7986577181207,770.6409395973154,0.0,0.0,0.0,3.949664429530202,13.411073825503308,0.12248322147650015,1.0244348024663166,1.0091083855719891,1.0001589620864535,0.282114482803704,0.6195597054787637,0.5580405033490257,0.6191275167785235,0.8422818791946308,0.802013422818792,-0.011744966442952975,-0.025167785234899376,-0.008389261744966459,1520.0,8314.0,3821.0,108.0,1331.5,659.5,0.6191275167785235,0.6936900767018215,0.6882550335570468,0.6191275167785235,0.5884186550484561,0.5801936026518645,501.25,2935.0,1739.0,0.6191275167785235,0.8422818791946308,0.802013422818792
task27_F:gated_cost_aware:seed13,task27_F,gated_cost_aware,13,596,0,1.0,10.0,5.0,168.61409395973155,1521.4530201342282,775.4043624161073,0.0,0.0,0.0,6.973154362416125,49.06543624161077,4.885906040268424,1.0431397786958418,1.0333237231679815,1.006341062955519,0.2901262277701468,0.6597507322288914,0.5818387083133383,0.62751677852349,0.8624161073825504,0.8087248322147651,-0.003355704697986517,-0.005033557046979831,-0.001677852348993314,1520.0,8208.0,6340.0,108.5,1369.5,673.5,0.62751677852349,0.7054923031852559,0.6982102908277402,0.62751677852349,0.6171851119161454,0.6038583154992235,511.0,3024.75,1746.5,0.62751677852349,0.8624161073825504,0.8087248322147651
