calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dense_same_action_test_hit_delta_pp,dense_same_action_test_saving_pct,is_original_split,scale,selected_policy,split_index,split_salt,test_hit_delta_max_seed_pp,test_hit_delta_mean_pp,test_hit_delta_min_seed_pp,test_point_noninferior_seeds_1pp,test_queries,test_saving_max_seed_pct,test_saving_mean_pct,test_saving_min_seed_pct
True,0.18621973929237035,179,7.06766403392205,-0.959232613908878,14.819005612701176,False,100k,token_budget_r0.95_m4,10,task65_5_calibration_sensitivity_v1_10,0.23980815347721673,0.0,-0.23980815347721673,3,417,9.031608707219585,7.994920468034949,6.868907686932424
True,0.0,179,9.500433801187606,-0.7194244604316613,14.78393304672726,False,100k,token_budget_r0.92_m8,11,task65_5_calibration_sensitivity_v1_11,0.0,-0.47961630695444085,-0.7194244604316613,3,417,9.862716999404553,8.976015826588064,7.7748441006916575
False,-0.5586592178770926,179,7.530786010836676,-0.9592326139088669,14.322018515157009,False,100k,token_budget_r0.95_m4,12,task65_5_calibration_sensitivity_v1_12,0.959232613908878,0.31974420463629266,-0.47961630695443347,3,417,9.059688042942716,7.809785286414436,6.377875165313895
True,0.18621973929236663,179,16.049793525668733,-1.918465227817745,22.872632245288848,False,100k,token_budget_r0.85_m4,13,task65_5_calibration_sensitivity_v1_13,-0.47961630695443347,-1.5987210231814524,-2.3980815347721784,1,417,18.72193997630217,17.734854756069193,17.07185638461913
True,0.18621973929235924,179,11.736296731709453,-1.918465227817745,16.512560726156977,False,100k,token_budget_r0.92_m4,14,task65_5_calibration_sensitivity_v1_14,-0.47961630695443347,-0.7993605115907262,-1.4388489208633115,2,417,11.024034773715163,10.179301968805932,9.584665047302476
True,0.3724394785847296,179,6.549390589569167,-1.1990407673860948,15.130943677039788,False,100k,token_budget_r0.95_m4,15,task65_5_calibration_sensitivity_v1_15,0.47961630695443347,-0.07993605115907225,-0.47961630695443347,3,417,9.064367003789176,8.232063601137027,7.63255981332609
False,-1.4897579143389148,179,7.181324342043646,-0.9592326139088669,14.580030420331735,False,100k,token_budget_r0.95_m4,16,task65_5_calibration_sensitivity_v1_16,1.6786570743405282,0.7194244604316539,0.23980815347721673,3,417,8.616840631262123,7.951992746333603,6.854231886623907
False,-1.6759776536312814,179,14.277036068838893,-0.959232613908878,15.32763280460765,False,100k,token_budget_r0.88_m8,17,task65_5_calibration_sensitivity_v1_17,0.0,-0.3996802557953649,-0.959232613908878,3,417,9.905078652864695,9.362631908091826,8.52635756550033
True,1.1173184357541888,179,16.74923910521503,-1.918465227817745,24.113715120957803,False,100k,token_budget_r0.85_m4,18,task65_5_calibration_sensitivity_v1_18,-1.4388489208633004,-1.9984012789768135,-2.3980815347721784,0,417,18.618633907602355,17.446172543480753,15.686248747721255
False,-1.489757914338922,179,9.86229297314681,-1.1990407673860837,14.195738157686222,False,100k,token_budget_r0.95_m4,19,task65_5_calibration_sensitivity_v1_19,0.959232613908878,0.7194244604316613,0.47961630695444457,3,417,7.349236277081184,6.8322181221546945,5.9380548431643305
True,1.8621973929236517,179,16.255792787083628,-2.3980815347721895,21.95404122539103,True,200k,token_budget_r0.85_m4,0,task38_lotte_calibration_v1,2.3980815347721784,1.1990407673860874,0.47961630695443347,3,417,16.94928139833142,15.996159083997727,14.84421482686129
True,3.35195530726257,179,17.284039798800865,-2.3980815347721895,21.946877483582217,False,200k,token_budget_r0.85_m4,1,task65_5_calibration_sensitivity_v1_01,1.4388489208633115,0.5595523581135095,-0.23980815347721673,3,417,16.285606726063506,15.540441432774228,14.899067218806206
True,1.6759776536312814,179,18.209377478705203,-2.877697841726612,21.57703151084419,False,200k,token_budget_r0.85_m4,2,task65_5_calibration_sensitivity_v1_02,2.158273381294973,1.2789768185451706,0.23980815347722784,3,417,16.010161883585138,15.025491296246278,13.862450905010293
True,0.5586592178770926,179,15.178285256410255,-2.3980815347721784,21.754102055990497,False,200k,token_budget_r0.85_m4,3,task65_5_calibration_sensitivity_v1_03,2.637889688249395,1.7585931254995968,0.9592326139088669,3,417,17.09187192366829,16.474110310007887,15.86419898462128
True,0.7448789571694554,179,14.153149801587295,-2.637889688249395,22.397102203420182,False,200k,token_budget_r0.85_m4,4,task65_5_calibration_sensitivity_v1_04,2.877697841726623,1.678657074340532,0.7194244604316613,3,417,17.437801783415384,16.945261965180944,16.35636545485878
True,1.4897579143389184,179,15.300569419497842,-2.877697841726612,22.214320532596133,False,200k,token_budget_r0.85_m4,5,task65_5_calibration_sensitivity_v1_05,2.6378896882494063,1.3589128697042392,0.23980815347721673,3,417,17.194187917760107,16.41080773074603,15.787909747123663
True,0.9310986964618259,179,14.775420247724975,-2.877697841726612,21.62024249646922,False,200k,token_budget_r0.85_m4,6,task65_5_calibration_sensitivity_v1_06,1.918465227817745,1.598721023181456,1.1990407673860948,3,417,17.0489898175186,16.61415758868657,16.116171808386316
True,0.5586592178770999,179,16.834291010651533,-2.877697841726623,22.077011174888018,False,200k,token_budget_r0.85_m4,7,task65_5_calibration_sensitivity_v1_07,3.1175059952038398,1.7585931254995968,0.9592326139088669,3,417,16.985795897345547,15.724583172385136,14.753529001172383
True,1.6759776536312776,179,14.707837740235847,-2.877697841726623,21.522522056652527,False,200k,token_budget_r0.85_m4,8,task65_5_calibration_sensitivity_v1_08,2.3980815347721784,1.2789768185451595,0.47961630695443347,3,417,17.612293341384767,16.668251376055988,15.444077273766066
True,1.4897579143389184,179,14.851469179730737,-2.6378896882494063,22.200695244433476,False,200k,token_budget_r0.85_m4,9,task65_5_calibration_sensitivity_v1_09,2.1582733812949617,1.3589128697042319,0.7194244604316502,3,417,17.092270219687776,16.627760454847962,16.145683775265105
True,1.3035381750465516,179,13.111121770018098,-2.3980815347721784,22.079192027727366,False,200k,token_budget_r0.85_m4,10,task65_5_calibration_sensitivity_v1_10,1.918465227817745,1.4388489208633115,0.959232613908878,3,417,17.972174357428795,17.28712542614226,16.734696551769325
True,2.7932960893854815,179,17.11695828580955,-2.1582733812949617,21.69065853076787,False,200k,token_budget_r0.85_m4,11,task65_5_calibration_sensitivity_v1_11,1.6786570743405282,0.7993605115907262,0.23980815347721673,3,417,16.099058457325132,15.575521606405303,14.938217160546152
True,-3.700743415417188e-15,179,9.349144069520731,-0.47961630695444457,12.908098464561913,False,200k,token_budget_r0.95_m4,12,task65_5_calibration_sensitivity_v1_12,3.83693045563549,3.1974420463629047,2.637889688249395,3,417,6.329566024882705,5.888662590981346,5.507227691894922
False,-0.18621973929237035,179,9.562510414615303,-0.7194244604316613,12.480097075988105,False,200k,token_budget_r0.95_m8,13,task65_5_calibration_sensitivity_v1_13,4.55635491606714,3.517186250999197,2.3980815347721784,3,417,6.303737894832107,5.327447095932932,4.317132772196586
True,0.9310986964618295,179,14.59487735885612,-2.637889688249395,22.363049841693382,False,200k,token_budget_r0.85_m4,14,task65_5_calibration_sensitivity_v1_14,2.877697841726623,1.598721023181456,0.23980815347721673,3,417,17.31117704454489,16.70638160412947,16.39883974856794
True,1.4897579143389184,179,14.62702415715424,-2.3980815347721784,21.974747407069916,False,200k,token_budget_r0.85_m4,15,task65_5_calibration_sensitivity_v1_15,2.1582733812949617,1.3589128697042392,0.7194244604316613,3,417,17.62287942540134,16.712059693225775,15.56997561171709
True,2.979515828677848,179,16.61951041148049,-3.1175059952038287,21.842036219520345,False,200k,token_budget_r0.85_m4,16,task65_5_calibration_sensitivity_v1_16,1.1990407673860948,0.7194244604316576,0.23980815347721673,3,417,16.615089782888205,15.853359776331773,14.741537072616662
