source_label,method,avg_context_tokens@10_mean,avg_context_tokens@10_std,avg_source_candidate_cost_mean,avg_source_candidate_cost_mean_mean,avg_source_candidate_cost_mean_std,avg_source_candidate_cost_std,context_token_ratio_vs_baseline@10_mean,context_token_ratio_vs_baseline@10_std,context_token_saving_pct@10,dataset,dense_query_rate_mean,dense_query_rate_mean_mean,dense_query_rate_mean_std,dense_query_rate_std,dense_saved_rate_mean,dense_saved_rate_mean_mean,dense_saved_rate_mean_std,dense_saved_rate_std,evidence_recall@10_mean,evidence_recall@10_std,hit@10_mean,hit@10_std,hit_delta_vs_baseline@10_mean,hit_delta_vs_baseline@10_std,mrr@10_mean,mrr@10_std,ndcg@10_mean,ndcg@10_std,runs,task
task19_ablation_D,gated_cost_aware,1518.4395973154362,33.268403572697075,229.97203579418345,229.97203579418343,0.0,15.28178426095394,1.0312770998116332,0.02259486831907663,-3.127709981163318,lotte_technology_search_100k,0.9028709917971663,0.9028709917971662,0.0,0.06294452231112442,,,,,0.6889755428620855,0.004536219120955027,0.8769574944071589,0.0019374170107034072,0.009507829977628631,0.0019374170107034072,0.7064590657291998,0.008875785168594242,0.6320513444173492,0.003655463315652864,3,task19_ablation_D
task19_ablation_E,gated_cost_aware,1549.8344519015661,13.557323296628061,258.8385533184191,258.8385533184191,0.0,12.271463757123096,1.0525995117428246,0.009207713678748895,-5.259951174282462,lotte_technology_search_100k,0.9489187173750933,0.9489187173750931,0.0,0.039745915718237185,,,,,0.7166596627441921,0.011221489874515343,0.8864653243847874,0.004843542526758614,0.019015659955257263,0.004843542526758614,0.7116375483825148,0.004759669790154189,0.6507697998585772,0.005975153446687908,3,task19_ablation_E
task20_conditional_H,gated_cost_aware,1514.84451901566,26.566640231197418,237.53914988814319,237.53914988814316,0.0,6.785628488950782,1.0288354340850914,0.018043238425688193,-2.883543408509137,lotte_technology_search_100k,0.9052945563012676,0.9052945563012678,0.0,0.042070410501106506,0.09470544369873231,0.09470544369873231,0.0,0.042070410501106506,0.6782932273718553,0.01157671807728877,0.8668903803131991,0.009831317578997155,-0.0005592841163310677,0.009831317578997155,0.7047885373388729,0.0035535219427803083,0.6270981579678224,0.007250912707465134,3,task20_conditional_H
task20_conditional_L,gated_cost_aware,1455.9809843400446,62.314104524314175,143.2158836689038,143.21588366890379,0.0,7.38850304041389,0.9888571462215147,0.0423218079301997,1.114285377848534,lotte_technology_search_100k,0.540454884414616,0.5404548844146159,0.0,0.09608353537613701,0.4595451155853841,0.4595451155853841,0.0,0.09608353537613701,0.5148335870246306,0.044286918237249284,0.738255033557047,0.03523489932885907,-0.1291946308724832,0.03523489932885907,0.622050664038919,0.01893202960062204,0.5007245238418252,0.029596538014142842,3,task20_conditional_L
task20_conditional_M,gated_cost_aware,1508.3758389261745,37.19236924525272,225.48657718120805,225.48657718120808,0.0,5.569939127306267,1.0244421071104208,0.025259904153039386,-2.444210711042083,lotte_technology_search_100k,0.8689410887397464,0.8689410887397465,0.0,0.04893762650401589,0.13105891126025357,0.13105891126025357,0.0,0.04893762650401589,0.6690208709793299,0.014146307438929851,0.8624161073825504,0.010205977399829255,-0.005033557046979868,0.010205977399829255,0.7008933010191398,0.008160696193804703,0.6197843925292841,0.008321317313196193,3,task20_conditional_M
task20_conditional_S,gated_cost_aware,1516.2444071588366,33.26884141031797,227.2874720357942,227.2874720357942,0.0,15.353131359877008,1.0297861947125857,0.02259516568481492,-2.97861947125857,lotte_technology_search_100k,0.8944817300521999,0.8944817300521999,0.0,0.06741713215673023,0.10551826994780016,0.10551826994780016,0.0,0.06741713215673023,0.6862390455786084,0.0019303121352843805,0.8747203579418344,0.0009687085053517357,0.007270693512304249,0.0009687085053517357,0.7070869287312239,0.00803241493345438,0.6308304067511346,0.004465960720545529,3,task20_conditional_S
task25_100k_cluster_credit_formal,gated_cost_aware,1550.6515659955257,20.636410817681455,181.47231543624162,181.47231543624162,0.0,8.217982828002917,1.0531544703032596,0.01401561045708087,-5.315447030325959,lotte_technology_search_100k,0.6707913870246085,0.6707913870246084,0.0,0.04418836741265102,0.3292086129753915,0.3292086129753915,0.0,0.04418836741265102,0.6829437870205345,0.003314962263566471,0.8763982102908278,0.0009687085053517357,0.008948545861297563,0.0009687085053517357,0.7106803291786511,0.0074209759076160585,0.6294654554612698,0.00506539127968361,3,task25_100k_cluster_credit_formal
task25_100k_cluster_credit_value_conf,gated_cost_aware,1550.484899328859,0.0,176.29404362416108,176.29404362416108,0.0,0.0,1.0530412754702618,0.0,-5.304127547026183,lotte_technology_search_100k,0.6421979865771812,0.6421979865771812,0.0,0.0,0.3578020134228188,0.3578020134228188,0.0,0.0,0.6830576872053097,0.0,0.8758389261744967,0.0,0.008389261744966459,0.0,0.7023696335357407,0.0,0.6237030627020236,0.0,1,task25_100k_cluster_credit_value_conf
task25_100k_old_credit,gated_cost_aware,1509.8104026845638,0.0,189.46308724832215,189.46308724832215,0.0,0.0,1.0254164183407537,0.0,-2.54164183407537,lotte_technology_search_100k,0.7267197986577181,0.7267197986577181,0.0,0.0,0.2732802013422819,0.2732802013422819,0.0,0.0,0.685802256705983,0.0,0.8808724832214765,0.0,0.01342281879194629,0.0,0.709895333972515,0.0,0.6315459655552925,0.0,1,task25_100k_old_credit
task25_100k_old_credit_formal,gated_cost_aware,1529.6963087248323,21.731046493830853,193.91778523489933,193.91778523489936,0.0,9.668387812117997,1.0389223092201751,0.014759053072411536,-3.8922309220175144,lotte_technology_search_100k,0.7465743847874721,0.746574384787472,0.0,0.05597802609177908,0.253425615212528,0.253425615212528,0.0,0.05597802609177908,0.6870948143534064,0.005645810565423904,0.8825503355704698,0.006049582676952985,0.015100671140939603,0.006049582676952985,0.7115061610028052,0.0017719624046912965,0.6321796739408875,0.0008361351864537173,3,task25_100k_old_credit_formal
task25_100k_route_credit,gated_cost_aware,1555.78355704698,0.0,299.27642617449663,299.27642617449663,0.0,0.0,1.056639959523351,0.0,-5.66399595233511,lotte_technology_search_100k,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7259083065421301,0.0,0.8791946308724832,0.0,0.011744966442952975,0.0,0.7102595344625544,0.0,0.6580496476379062,0.0,1,task25_100k_route_credit
lotte_technology_search_200k:dense,lotte_technology_search_200k:dense,1444.1241610738255,0.0,,,,,1.0,0.0,0.0,lotte_technology_search_200k,,,,,,,,,0.6202145339649683,0.0,0.7969798657718121,0.0,0.0,0.0,0.6278636678385,0.0,0.5643164326791772,0.0,1,baseline
task22_200k_formal,full_multi_route,1558.1800894854587,15.335192520026991,300.0,300.0,0.0,0.0,1.0789793090414215,0.010619026350631847,-7.8979309041421475,lotte_technology_search_200k,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6424422625490089,0.006474161855398307,0.8299776286353467,0.0058924237991346195,0.03299776286353462,0.0058924237991346195,0.6325709758176202,0.0006403940751544317,0.5720138632800382,0.0026382118192152288,3,task22_200k_formal
task22_200k_formal,gated_cost_aware,1549.3881431767338,18.978945565953538,232.00782997762863,232.00782997762863,0.0,11.987070067602401,1.0728912270428574,0.013142184084671086,-7.289122704285744,lotte_technology_search_200k,0.9026845637583892,0.9026845637583892,0.0,0.03650801771894316,0.09731543624161072,0.09731543624161072,0.0,0.03650801771894316,0.5999668532950762,0.0011825955580937182,0.8154362416107382,0.006049582676952985,0.01845637583892612,0.006049582676952985,0.630463451226874,0.008410889252285177,0.5471611317182951,0.0060697836735232715,3,task22_200k_formal
task22_200k_smoke,full_multi_route,1579.7332214765102,0.0,300.0,300.0,0.0,0.0,1.0939040174370105,0.0,-9.390401743701048,lotte_technology_search_200k,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642212982012074,0.0,0.8288590604026845,0.0,0.03187919463087241,0.0,0.6326928198572496,0.0,0.5727844125925462,0.0,1,task22_200k_smoke
task22_200k_smoke,gated_cost_aware,1554.1510067114093,0.0,251.8791946308725,251.8791946308725,0.0,0.0,1.0761893254079828,0.0,-7.618932540798284,lotte_technology_search_200k,0.947986577181208,0.947986577181208,0.0,0.0,0.052013422818791955,0.052013422818791955,0.0,0.0,0.5985415481141299,0.0,0.8104026845637584,0.0,0.01342281879194629,0.0,0.6202620645573667,0.0,0.54115873757727,0.0,1,task22_200k_smoke
lotte_technology_search_400k:dense,lotte_technology_search_400k:dense,1482.2986577181207,0.0,,,,,1.0,0.0,0.0,lotte_technology_search_400k,,,,,,,,,0.577735361850729,0.0,0.7718120805369127,0.0,0.0,0.0,0.5875519335250878,0.0,0.5173615467977577,0.0,1,baseline
