seed,action,auroc,auroc_ci_high,auroc_ci_low,average_precision,average_precision_ci_high,average_precision_ci_low,examples,feature,safe_prevalence,spearman,spearman_ci_high,spearman_ci_low,variant
17,r0.95_m4,1.0,1.0,1.0,1.0,1.0,1.0,366,first_relevant_rank,0.9863387978142076,,,,dynamic_gated
17,r0.95_m4,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,366,first_relevant_token_position,0.9863387978142076,,,,dynamic_gated
17,r0.95_m4,0.5936288088642659,0.8904109589041096,0.3865149353409022,0.9888848866458307,0.9987813785400932,0.9764346797528312,366,route_support_count,0.9863387978142076,,,,dynamic_gated
19,continuous_headroom,,,,,,,368,route_confidence,,-0.07074226397012259,0.025837916855826117,-0.17195621775200642,dynamic_gated
19,r0.85_m4,0.4756628413138109,0.6183670237050948,0.3335783000938736,0.984339936254117,0.9958099829978273,0.9695198045703413,368,route_confidence,0.9809782608695652,,,,dynamic_gated
19,r0.85_m4,0.7991689750692521,0.8227146814404432,0.7734806629834254,0.9923596892689389,0.9973209499702202,0.9863621402327004,368,relevant_count,0.9809782608695652,,,,dynamic_gated
19,r0.85_m4,0.996834190740008,1.0,0.9902750620732464,0.9999166147602758,1.0,0.9997224207244705,368,first_relevant_rank,0.9809782608695652,,,,dynamic_gated
19,r0.85_m4,0.9976256430550059,1.0,0.9920391061452514,0.9999473082018546,1.0,0.9997956279520406,368,first_relevant_token_position,0.9809782608695652,,,,dynamic_gated
19,r0.85_m4,0.5573802928373566,0.7618711921751187,0.4090909090909091,0.983167229962867,0.9955145326033036,0.9681923596174408,368,route_support_count,0.9809782608695652,,,,dynamic_gated
19,r0.95_m4,0.6857923497267759,0.7356948228882834,0.6337202756260134,0.9979548439410288,0.9991181014764312,0.9945288488787796,368,route_confidence,0.9945652173913043,,,,dynamic_gated
19,r0.95_m4,0.7950819672131147,0.8189633921447603,0.7691256830601093,0.9977726300784034,0.9989856059708565,0.9939729151736172,368,relevant_count,0.9945652173913043,,,,dynamic_gated
19,r0.95_m4,0.9986338797814207,1.0,0.9958791208791209,0.9999851508671893,1.0,0.9999251407354174,368,first_relevant_rank,0.9945652173913043,,,,dynamic_gated
19,r0.95_m4,0.9986338797814207,1.0,0.9955674633594681,0.9999851508671895,1.0,0.9999251407354175,368,first_relevant_token_position,0.9945652173913043,,,,dynamic_gated
19,r0.95_m4,0.41530054644808745,0.4332425068119891,0.39509536784741145,0.9936368058321838,0.9968924019790131,0.9839263059902903,368,route_support_count,0.9945652173913043,,,,dynamic_gated
13,continuous_headroom,,,,,,,369,route_confidence,,0.04257402384820363,0.14531081618426078,-0.05800265067053991,fixed_full
13,r0.85_m4,0.3711911357340721,0.6144513307542019,0.14781176142949615,0.966572001089427,0.9916526890020674,0.9347214164765819,369,route_confidence,0.978319783197832,,,,fixed_full
13,r0.85_m4,0.8185595567867037,0.8439248641868912,0.7935355534404308,0.9921326637089085,0.9970911635345863,0.9863200885529981,369,relevant_count,0.978319783197832,,,,fixed_full
13,r0.85_m4,0.9970567867036011,1.0,0.9917808219178083,0.9998934775883226,1.0,0.999695947166221,369,first_relevant_rank,0.978319783197832,,,,fixed_full
13,r0.85_m4,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999998,369,first_relevant_token_position,0.978319783197832,,,,fixed_full
13,r0.85_m4,0.5415512465373962,0.7131868131868133,0.40846653005464484,0.980091343299706,0.9933027821226116,0.9636979857242024,369,route_support_count,0.978319783197832,,,,fixed_full
13,r0.95_m4,0.3752276867030966,0.75,0.10773342836778332,0.9899623914297069,0.9991737500738967,0.9743310477781942,369,route_confidence,0.991869918699187,,,,fixed_full
13,r0.95_m4,0.8142076502732241,0.837431693989071,0.7882513661202186,0.9969789861833045,0.9990573818781666,0.9927682702241387,369,relevant_count,0.991869918699187,,,,fixed_full
13,r0.95_m4,1.0,1.0,1.0,1.0,1.0,1.0,369,first_relevant_rank,0.991869918699187,,,,fixed_full
13,r0.95_m4,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,369,first_relevant_token_position,0.991869918699187,,,,fixed_full
13,r0.95_m4,0.5828779599271403,0.9225068675216206,0.4019073569482289,0.9932124830597746,0.9995421986503655,0.9831678040422315,369,route_support_count,0.991869918699187,,,,fixed_full
17,continuous_headroom,,,,,,,366,route_confidence,,0.05477592545770862,0.15533782055194612,-0.046519644954395166,fixed_full
17,r0.85_m4,0.4363523187052599,0.6430715262746511,0.24402527479153438,0.9712089910069878,0.9917556713357789,0.9436762817642554,366,route_confidence,0.9754098360655737,,,,fixed_full
17,r0.85_m4,0.819327731092437,0.8436619718309859,0.794688978745628,0.9911144785783167,0.9962292062917006,0.9850004219368974,366,relevant_count,0.9754098360655737,,,,fixed_full
17,r0.85_m4,0.9964207905384376,1.0,0.990051139971027,0.9998688728679086,1.0,0.999613655609763,366,first_relevant_rank,0.9754098360655737,,,,fixed_full
17,r0.85_m4,0.9976657329598506,1.0,0.9923060941828257,0.9999311199889791,1.0,0.9997460170861233,366,first_relevant_token_position,0.9754098360655737,,,,fixed_full
17,r0.85_m4,0.5606909430438842,0.7403009259259259,0.39664804469273746,0.9783497888436585,0.9922998317766663,0.9611635212397495,366,route_support_count,0.9754098360655737,,,,fixed_full
17,r0.95_m4,0.5800554016620498,0.8793405235174446,0.28037643450732097,0.9901787519231597,0.9993162491557007,0.9761099713854688,366,route_confidence,0.9863387978142076,,,,fixed_full
