selector,margin_pp,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
random_selector,0.0,17,0.75,4,0.6,0.3915336839079373,0.8705035971223022,10,dense_top10,1470.1199040767385,-0.01615154305127327,-0.060115034595700056,-0.03862234887414744,0.011990407673860911,-0.026378896882494004,-0.007194244604316547,10,400,7,0.629058837890625,0.8633093525179856,random_selector,7,random_selector:r0.75:m4:c0.60,1302.009592326139,0.008363785162346314,-0.023965929348406793,False,0.0,417,100k,-110.22829736211033,-224.6114508393285,-168.11031175059952,3,268,10,0.6498800959232613,0.8856485710557223,224.35419664268582,109.5052757793765,168.11031175059952,11.435142894427774,9.597681840116677e-18
random_selector,0.0,19,0.75,4,0.6,0.3665503254187329,0.8705035971223022,15,dense_top10,1470.1199040767385,-0.020835269014225853,-0.06828350791526801,-0.04476213177838085,0.016786570743405275,-0.03117505995203837,-0.007194244604316547,15,390,12,0.7011080384254456,0.8633093525179856,random_selector,12,random_selector:r0.75:m4:c0.60,1290.462829736211,0.023389859540938678,-0.021580635908973002,False,0.0,417,100k,-138.58812949640287,-223.41570743405273,-179.65707434052757,6,266,13,0.6522781774580336,0.8777942711731698,221.40293764988007,135.82859712230217,179.65707434052757,12.220572882683022,3.4955333765810754e-20
budget_only,0.0,13,0.95,4,1.0,-inf,0.8705035971223022,11,dense_top10,1470.1199040767385,-0.001742185218834937,-0.0493826128826749,-0.02567624359983576,0.019184652278177457,-0.023980815347721823,-0.002398081534772182,11,396,10,1.0,0.86810551558753,budget_only,10,budget_only:r0.95:m4:c1.00,1375.6450839328538,0.009279243272049027,-0.017828713987575184,False,0.0,417,100k,-48.155695443645115,-141.54808153477217,-94.4748201438849,6,273,9,0.6690647482014388,0.9357366566618819,139.85443645083933,48.55209832134296,94.4748201438849,6.426334333811812,1.155320141562371e-13
budget_only,0.0,17,0.95,4,1.0,-inf,0.8705035971223022,9,dense_top10,1470.1199040767385,-0.009747715076185062,-0.0525912227375884,-0.03149777684942656,0.011990407673860911,-0.023980815347721823,-0.004796163069544364,9,401,7,0.803619384765625,0.8657074340527577,budget_only,7,budget_only:r0.95:m4:c1.00,1365.1966426858514,0.008989950896425717,-0.01936240091260671,False,0.0,417,100k,-55.40251798561155,-153.74346522781772,-104.92326139088729,3,277,8,0.6714628297362111,0.9286294532167559,155.7443045563549,55.13135491606716,104.92326139088729,7.1370546783244055,6.177566253542725e-14
budget_only,0.0,19,0.95,4,1.0,-inf,0.8705035971223022,11,dense_top10,1470.1199040767385,0.0028291739649033113,-0.04428050118496037,-0.02106850122230921,0.031235011990407346,-0.016786570743405275,0.007194244604316547,11,392,14,0.6900379657745361,0.8776978417266187,budget_only,14,budget_only:r0.95:m4:c1.00,1396.9016786570744,0.0255405199649804,-0.010880343802186084,False,0.0,417,100k,-25.69838129496405,-112.67883693045563,-73.21822541966426,7,258,8,0.6354916067146283,0.9501957457914656,112.53752997601919,27.839208633093527,73.21822541966426,4.98042542085344,1.0736501239574712e-10
learned_confidence,1.0,13,0.8,4,0.8,0.5425800102345106,0.8705035971223022,15,dense_top10,1470.1199040767385,-0.024921841672803004,-0.06738164976303776,-0.045787026148598954,0.004796163069544364,-0.0407673860911271,-0.016786570743405275,15,394,8,0.21003961563110352,0.8537170263788969,learned_confidence,8,learned_confidence:r0.80:m4:c0.80,1237.1510791366907,0.007571085988352175,-0.027735842121484736,False,0.01,417,100k,-189.67260191846526,-279.8087529976019,-232.96882494004797,5,304,11,0.7410071942446043,0.8415307320892601,279.39538369304546,190.2910071942446,232.96882494004797,15.84692679107399,1.6885374363243437e-31
learned_confidence,1.0,17,0.8,4,0.8,0.43963947345141363,0.8705035971223022,12,dense_top10,1470.1199040767385,-0.029558957998551162,-0.0707480963281323,-0.0496522337287656,0.004796163069544364,-0.03357314148681055,-0.014388489208633094,12,399,6,0.237884521484375,0.8561151079136691,learned_confidence,6,learned_confidence:r0.80:m4:c0.80,1189.568345323741,0.007678619009554261,-0.029446881298234435,False,0.01,417,100k,-233.0633693045564,-333.8970023980815,-280.5515587529976,4,327,11,0.7937649880095923,0.8091641654704423,331.71043165467626,233.45143884892087,280.5515587529976,19.083583452955764,1.418748789632941e-40
learned_confidence,1.0,19,0.8,4,0.8,0.5144095665403683,0.8705035971223022,16,dense_top10,1470.1199040767385,-0.018095385126441352,-0.06755724577674777,-0.04251688364191465,0.014388489208633094,-0.03123501199040757,-0.009592326139088728,16,389,12,0.5715881884098053,0.8609112709832134,learned_confidence,12,learned_confidence:r0.80:m4:c0.80,1247.7098321342926,0.023423166228921627,-0.021173960215286412,False,0.01,417,100k,-182.07595923261394,-261.0490407673861,-222.41007194244605,8,301,14,0.7410071942446043,0.8487129714211145,262.3306354916067,182.18609112709834,222.41007194244605,15.128702857888554,6.875296456641168e-32
geometry_similarity,1.0,13,0.8,4,0.9,0.21249382197856903,0.8705035971223022,15,dense_top10,1470.1199040767385,-0.028733598022313612,-0.07234495233340123,-0.05011295934143862,0.004796163069544364,-0.0407673860911271,-0.016786570743405275,15,394,8,0.21003961563110352,0.8537170263788969,geometry_similarity,8,geometry_similarity:r0.80:m4:c0.90,1222.6714628297361,0.007544440637965818,-0.028972770998207116,False,0.01,417,100k,-187.9068345323741,-301.24808153477215,-247.4484412470024,5,331,13,0.8057553956834532,0.8316814563486885,301.8407074340527,192.386690647482,247.4484412470024,16.83185436513115,3.9198153417259174e-38
geometry_similarity,1.0,17,0.8,4,0.9,0.16555540263652802,0.8705035971223022,12,dense_top10,1470.1199040767385,-0.028276061454165544,-0.07053924213965146,-0.049081781000039494,0.004796163069544364,-0.03357314148681055,-0.014388489208633094,12,399,6,0.237884521484375,0.8561151079136691,geometry_similarity,6,geometry_similarity:r0.80:m4:c0.90,1192.9952038369304,0.007705264359940619,-0.028656700287604392,False,0.01,417,100k,-232.7416666666667,-326.5790767386091,-277.12470023980813,4,329,11,0.7985611510791367,0.8114951716038106,325.0365707434052,231.50539568345326,277.12470023980813,18.85048283961894,7.023267631297259e-42
