seed,bm25_support_at100,cluster_support_at100,dense_support_at100,first_relevant_prefix_ratio,first_relevant_prefix_tokens,first_relevant_rank,maximum_safe_token_saving,minimum_safe_ratio_grid,multiple_relevant,query_id,relevant_chunks_top10,route_confidence,route_support_count_at100,route_tier,safe_r0.85_m4,safe_r0.95_m4,source_hit,total_tokens_top10,variant
13,1,1,1,0.04751847940865892,90,1,0.616156282998944,0.01,1,lotte_technology_search_100k_q568,2,0.9714501008838384,3,linucb_primary,1,1,1,1894,dynamic_gated
13,1,1,1,0.02044907778668805,51,1,0.39735364875701684,0.01,1,lotte_technology_search_100k_q595,5,0.8549944916313571,3,linucb_primary,1,1,1,2494,dynamic_gated
13,1,1,1,0.1857379767827529,448,1,0.4299336650082919,0.01,0,lotte_technology_search_100k_q359,1,0.819601501235923,3,linucb_primary,1,1,1,2412,dynamic_gated
13,0,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q21,0,0.9107928693678458,2,linucb_primary,0,0,0,717,dynamic_gated
13,1,1,1,0.10605461020973486,268,1,0.4990106846062524,0.01,1,lotte_technology_search_100k_q560,3,0.37481218419836676,3,full_dense_fallback,1,1,1,2527,dynamic_gated
13,1,1,1,0.21830585559977259,384,1,0.28936895963615694,0.01,1,lotte_technology_search_100k_q396,3,0.780081258807793,3,linucb_primary,1,1,1,1759,dynamic_gated
13,1,1,1,0.015364061456245824,23,1,0.7835671342685371,0.01,1,lotte_technology_search_100k_q163,2,0.6819564454683739,3,hybrid_lite,1,1,1,1497,dynamic_gated
13,1,1,1,0.06126331811263318,161,1,0.4387366818873668,0.01,1,lotte_technology_search_100k_q527,7,0.7187882267980482,3,hybrid_lite,1,1,1,2628,dynamic_gated
13,1,1,1,0.056021469305602145,167,1,0.758470311975847,0.01,1,lotte_technology_search_100k_q423,4,0.9687190871403304,3,linucb_primary,1,1,1,2981,dynamic_gated
13,1,1,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q283,0,0.7130847666877264,2,hybrid_lite,0,0,0,843,dynamic_gated
13,1,1,1,0.31139122315592904,667,5,0.7343604108309991,0.27,1,lotte_technology_search_100k_q339,2,0.9380018491311999,3,linucb_primary,1,1,1,2142,dynamic_gated
13,1,1,1,0.17150956768249467,242,1,0.6151665485471297,0.01,0,lotte_technology_search_100k_q474,1,0.786172164038733,3,linucb_primary,1,1,1,1411,dynamic_gated
13,1,1,1,0.14868603042876902,215,1,0.44882434301521434,0.01,1,lotte_technology_search_100k_q343,5,0.8227163378467888,3,linucb_primary,1,1,1,1446,dynamic_gated
13,1,1,1,0.12868949232585597,327,2,0.26918536009445104,0.01,0,lotte_technology_search_100k_q312,1,0.4686087360068687,3,hybrid_lite,1,1,1,2541,dynamic_gated
13,1,1,1,0.05105762217359591,70,1,0.5200583515681985,0.01,1,lotte_technology_search_100k_q311,3,0.7115110934275595,3,hybrid_lite,1,1,1,1371,dynamic_gated
13,1,1,1,0.007965686274509803,13,1,0.7487745098039216,0.01,1,lotte_technology_search_100k_q236,7,0.7970182162217665,3,linucb_primary,1,1,1,1632,dynamic_gated
13,0,0,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q382,0,0.42588580639425716,0,full_dense_fallback,0,0,0,969,dynamic_gated
13,1,0,1,0.08414239482200647,208,1,0.5902103559870551,0.01,1,lotte_technology_search_100k_q328,5,0.42896799297390764,2,full_dense_fallback,1,1,1,2472,dynamic_gated
13,1,1,1,0.04676489429852659,73,1,0.700832799487508,0.01,1,lotte_technology_search_100k_q444,7,0.9278118239576828,3,linucb_primary,1,1,1,1561,dynamic_gated
13,1,1,1,0.11251049538203191,134,1,0.41897565071368603,0.01,1,lotte_technology_search_100k_q356,3,0.47053694854946176,3,hybrid_lite,1,1,1,1191,dynamic_gated
13,1,1,1,0.4361820199778024,786,1,0.2513873473917869,0.01,0,lotte_technology_search_100k_q517,1,0.2434634119272232,3,full_dense_fallback,1,1,1,1802,dynamic_gated
13,1,0,1,0.2174423152131404,556,1,0.41415721548689866,0.01,1,lotte_technology_search_100k_q415,3,0.4168944542941396,2,full_dense_fallback,1,1,1,2557,dynamic_gated
13,1,1,1,0.1254061078622482,193,1,0.28525016244314494,0.01,1,lotte_technology_search_100k_q416,5,0.7206073492886019,3,hybrid_lite,1,1,1,1539,dynamic_gated
13,1,1,1,0.07597645799892991,142,1,0.6169074371321562,0.01,1,lotte_technology_search_100k_q495,2,0.8332526259363655,3,linucb_primary,1,1,1,1869,dynamic_gated
13,1,1,1,0.5337837837837838,1422,1,0.3044294294294294,0.01,1,lotte_technology_search_100k_q263,2,0.7842217310751816,3,linucb_primary,1,1,1,2664,dynamic_gated
13,1,1,1,0.016540317022742935,72,1,0.7757868136917069,0.01,1,lotte_technology_search_100k_q369,4,0.9361400234823176,3,linucb_primary,1,1,1,4353,dynamic_gated
13,0,0,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q175,0,0.3060961072748501,1,full_dense_fallback,0,0,0,1017,dynamic_gated
13,1,1,1,0.2612982744453574,636,1,0.3574363188167625,0.01,1,lotte_technology_search_100k_q480,2,0.9611923253261527,3,linucb_primary,1,1,1,2434,dynamic_gated
13,1,1,1,0.3805117038649973,699,1,0.477408818726184,0.01,0,lotte_technology_search_100k_q373,1,0.8091232332356083,3,linucb_primary,1,1,1,1837,dynamic_gated
13,1,1,1,0.16389548693586697,138,1,0.41805225653206646,0.01,1,lotte_technology_search_100k_q251,2,0.8207984795774579,3,linucb_primary,1,1,1,842,dynamic_gated
13,1,0,1,0.10253583241455347,93,1,0.6990077177508269,0.01,1,lotte_technology_search_100k_q443,2,0.29600747553915735,2,full_dense_fallback,1,1,1,907,dynamic_gated
13,1,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q197,0,0.6412276348907312,3,hybrid_lite,0,0,0,800,dynamic_gated
