selector,margin_pp,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,choice_label,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
random_no_feedback,0.0,17,0.8,7,0.4,0.3236756920814514,0.8705035971223022,4,dense_top10,1470.1199040767385,quality_constraint,-0.005917527882455944,-0.017005371892961814,-0.011017852384758858,-0.002398081534772182,-0.019184652278177457,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,random_no_feedback,0,random_no_feedback:r0.80:m7:c0.40,1349.2350119904077,-0.001012523314681588,-0.0054832897073114235,False,0.0,417,100k,-99.65,-146.41133093525178,-120.88489208633094,0,153,4,0.3669064748201439,0.9177720866501371,146.26175059952038,99.79850119904077,120.88489208633094,8.22279133498629,3.659184152354796e-29
random_no_feedback,0.0,19,0.8,7,0.4,0.30409806966781616,0.8705035971223022,4,dense_top10,1470.1199040767385,quality_constraint,-0.007684923489779617,-0.0192963367401317,-0.013020535952190628,-0.002398081534772182,-0.019184652278177457,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,random_no_feedback,0,random_no_feedback:r0.80:m7:c0.40,1312.3836930455636,-0.001045830002664535,-0.0068130800086571375,False,0.0,417,100k,-130.75599520383693,-187.82434052757793,-157.73621103117506,0,186,4,0.4460431654676259,0.8927052068380531,187.3322541966426,131.8679856115108,157.73621103117506,10.72947931619469,2.998985176063799e-37
dense_budget_only,0.0,13,0.85,4,1.0,-inf,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.0228190142691042,-0.04450526643918483,-0.033046828696171295,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,dense_budget_only,0,dense_budget_only:r0.85:m4:c1.00,1133.621103117506,-0.0022106124624110234,-0.01703420421220167,False,0.0,417,100k,-300.6759592326139,-377.0240407673861,-336.4988009592326,0,409,8,0.9808153477218226,0.7711079211796946,378.48812949640273,300.5172661870503,336.4988009592326,22.889207882030536,2.275261755131998e-70
dense_budget_only,0.0,17,0.85,4,1.0,-inf,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.022611268948716234,-0.04392161323188053,-0.033046828696171295,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,dense_budget_only,0,dense_budget_only:r0.85:m4:c1.00,1133.621103117506,-0.0022106124624110234,-0.01703420421220167,False,0.0,417,100k,-301.8687649880096,-378.68489208633093,-336.4988009592326,0,409,8,0.9808153477218226,0.7711079211796946,378.08117505995205,299.7787170263789,336.4988009592326,22.889207882030536,2.275261755131998e-70
dense_budget_only,0.0,19,0.85,4,1.0,-inf,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.02271495301892536,-0.04449639896233483,-0.033046828696171295,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,dense_budget_only,0,dense_budget_only:r0.85:m4:c1.00,1133.621103117506,-0.0022106124624110234,-0.01703420421220167,False,0.0,417,100k,-301.6003597122303,-377.6770983213429,-336.4988009592326,0,409,8,0.9808153477218226,0.7711079211796946,378.08920863309345,299.8670263788969,336.4988009592326,22.889207882030536,2.275261755131998e-70
geometry_feedback,1.0,13,0.85,4,0.9,0.38951424724665046,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.022446464831418936,-0.04346554626727041,-0.03264714844037593,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,geometry_feedback,0,geometry_feedback:r0.85:m4:c0.90,1156.009592326139,-0.0022106124624110234,-0.01679231579213867,False,0.0,417,100k,-278.6215227817746,-357.0220623501199,-314.1103117505995,0,373,8,0.894484412470024,0.7863369437557093,357.34058752997606,279.1309352517986,314.1103117505995,21.36630562442907,2.425975586052846e-69
geometry_feedback,1.0,17,0.85,4,0.9,0.3354609640230188,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.020767522867808155,-0.04139646235690951,-0.030506004212900766,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,geometry_feedback,0,geometry_feedback:r0.85:m4:c0.90,1159.5347721822543,-0.0022106124624110234,-0.015743568831352223,False,0.0,417,100k,-273.33507194244606,-352.5013788968825,-310.5851318944844,0,372,8,0.8920863309352518,0.7887348297011615,351.50167865707436,274.7757194244605,310.5851318944844,21.12651702988385,2.763557470135247e-69
geometry_feedback,1.0,19,0.85,4,0.9,0.38713739041778533,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.022613198402317108,-0.04331900813876441,-0.03244730831247825,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,geometry_feedback,0,geometry_feedback:r0.85:m4:c0.90,1150.484412470024,-0.0022106124624110234,-0.01676359236244403,False,0.0,417,100k,-281.1364508393285,-360.66175059952036,-319.63549160671465,0,377,8,0.9040767386091128,0.782578624559572,358.9464628297361,282.84544364508395,319.63549160671465,21.742137544042805,1.491428691710158e-69
geometry_no_feedback,1.0,13,0.85,4,0.9,0.2659912705421448,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.0217043032240874,-0.04285133797723726,-0.03171510410719044,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,geometry_no_feedback,0,geometry_no_feedback:r0.85:m4:c0.90,1165.717026378897,-0.0022106124624110234,-0.01589585274990304,False,0.0,417,100k,-266.952757793765,-347.14730215827336,-304.40287769784175,0,367,8,0.8800959232613909,0.7929401017878116,347.17176258992805,267.26396882494004,304.40287769784175,20.70598982121884,5.575537677250045e-69
geometry_no_feedback,1.0,17,0.85,4,0.9,0.2292739897966385,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.021551128145102964,-0.0423603736058772,-0.031195519774656465,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,geometry_no_feedback,0,geometry_no_feedback:r0.85:m4:c0.90,1171.3741007194244,-0.0022106124624110234,-0.015300580671497737,False,0.0,417,100k,-265.88123501199044,-339.2542565947242,-298.7458033573142,0,372,8,0.8920863309352518,0.7967881378050372,336.1531175059951,266.96882494004797,298.7458033573142,20.32118621949628,2.7632140422346837e-69
