selector,seed,target_coverage,score_threshold,actual_coverage,action,selected_examples,selective_risk,selective_risk_ci_high,selective_risk_ci_low,test_examples
random_no_feedback,19,0.8,0.24025817215442657,0.8181818181818182,token_budget_r0.85_m4,297,0.020202020202020204,0.037037037037037035,0.006734006734006734,363
random_no_feedback,19,0.9,0.22129908204078674,0.8870523415977961,token_budget_r0.85_m4,322,0.021739130434782608,0.040372670807453416,0.006211180124223602,363
random_no_feedback,19,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.1,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.2,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.3,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.4,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.5,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.6,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.7,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.8,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,0.9,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,13,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.1,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.2,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.3,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.4,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.5,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.6,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.7,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.8,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,0.9,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,17,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.1,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.2,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.3,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.4,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.5,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.6,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.7,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.8,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,0.9,1.0,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
dense_budget_only,19,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
