selector,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,choice_label,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,saving_target_pct,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
geometry_feedback,17,0.88,4,0.9,0.3354609640230188,0.8705035971223022,7,dense_top10,1470.1199040767385,saving_target,-0.013560155122655126,-0.028890489302840456,-0.021124084461345692,-0.004796163069544364,-0.02877697841726619,-0.016786570743405275,7,410,0,0.015625,0.8537170263788969,geometry_feedback,0,geometry_feedback:r0.88:m4:c0.90,1205.1103117505995,-0.0017918998134825474,-0.01093285355143066,False,0.0,417,20.0,100k,-234.5790167865708,-298.34796163069547,-265.0095923261391,0,373,7,0.894484412470024,0.8197360694245074,298.8254196642685,235.07260191846524,265.0095923261391,18.02639305754926,2.76344298948739e-69
geometry_feedback,19,0.88,4,0.9,0.38713739041778533,0.8705035971223022,7,dense_top10,1470.1199040767385,saving_target,-0.014611442805749436,-0.030242613268692403,-0.021695056255339067,-0.004796163069544364,-0.03117505995203837,-0.016786570743405275,7,410,0,0.015625,0.8537170263788969,geometry_feedback,0,geometry_feedback:r0.88:m4:c0.90,1195.904076738609,-0.0017918998134825474,-0.011303868398966415,False,0.0,417,20.0,100k,-242.47410071942446,-309.47991606714623,-274.2158273381295,0,378,7,0.9064748201438849,0.8134738353125408,306.50587529976013,244.54460431654675,274.2158273381295,18.65261646874592,1.4912378553181564e-69
geometry_no_feedback,13,0.88,8,0.4,0.4415777623653412,0.8705035971223022,5,dense_top10,1470.1199040767385,saving_target,-0.004796163069544364,-0.01763246545620646,-0.010814205778234555,-0.002398081534772182,-0.023980815347721823,-0.011990407673860911,5,412,0,0.0625,0.8585131894484412,geometry_no_feedback,0,geometry_no_feedback:r0.88:m8:c0.40,1392.5395683453237,-0.0012523314681588064,-0.004218868654454759,False,0.0,417,5.0,100k,-60.670743405275786,-98.49358513189446,-77.58033573141486,0,151,5,0.36211031175059955,0.9472285658358346,98.7955035971223,61.212709832134294,77.58033573141486,5.277143416416541,6.448301664959163e-29
geometry_no_feedback,17,0.88,8,0.4,0.44373664259910583,0.8705035971223022,3,dense_top10,1470.1199040767385,saving_target,-0.003420121046020327,-0.014588971679799015,-0.008718739294278863,0.0,-0.016786570743405275,-0.007194244604316547,3,414,0,0.25,0.8633093525179856,geometry_no_feedback,0,geometry_no_feedback:r0.88:m8:c0.40,1394.5395683453237,-0.0007460698108180123,-0.0036014950268585286,False,0.0,417,5.0,100k,-62.50347721822542,-89.57272182254196,-75.58033573141486,0,149,3,0.35731414868105515,0.9485889990865196,89.60701438848922,62.164508393285374,75.58033573141486,5.141100091348038,6.2081619509724155e-28
geometry_no_feedback,19,0.88,8,0.4,0.45456963777542114,0.8705035971223022,4,dense_top10,1470.1199040767385,saving_target,-0.004737995318031295,-0.017532188534886375,-0.010514445586388033,-0.002398081534772182,-0.019184652278177457,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,geometry_no_feedback,0,geometry_no_feedback:r0.88:m8:c0.40,1402.68345323741,-0.001012523314681588,-0.004231924751109031,False,0.0,417,5.0,100k,-56.107973621103135,-78.66684652278178,-67.43645083932854,0,143,4,0.34292565947242204,0.9541286049849929,79.30695443645084,56.25617505995204,67.43645083932854,4.587139501500714,1.0465545756130827e-26
geometry_no_feedback,13,0.75,5,0.4,0.4415777623653412,0.8705035971223022,12,dense_top10,1470.1199040767385,saving_target,-0.015582629134787414,-0.03702247725629021,-0.025497697080430894,-0.014388489208633094,-0.045563549160671464,-0.02877697841726619,12,405,0,0.00048828125,0.841726618705036,geometry_no_feedback,0,geometry_no_feedback:r0.75:m5:c0.40,1320.4172661870505,-0.003455330973316585,-0.010739062848926062,False,0.0,417,10.0,100k,-122.79022781774586,-181.433932853717,-149.70263788968825,0,144,12,0.34532374100719426,0.8981697768497978,181.5663669064748,121.87625899280576,149.70263788968825,10.183022315020217,6.448459824829275e-29
geometry_no_feedback,17,0.75,5,0.4,0.44373664259910583,0.8705035971223022,9,dense_top10,1470.1199040767385,saving_target,-0.01194282669102813,-0.031842383236268125,-0.02083856724144494,-0.009532374100719752,-0.03597122302158273,-0.02158273381294964,9,408,0,0.00390625,0.8489208633093526,geometry_no_feedback,0,geometry_no_feedback:r0.75:m5:c0.40,1321.549160671463,-0.002649309124129268,-0.008648871793437672,False,0.0,417,10.0,100k,-118.18123501199041,-184.61654676258993,-148.57074340527578,0,143,9,0.34292565947242204,0.8989397102962288,184.1252997601918,119.09730215827338,148.57074340527578,10.106028970377123,6.2081619509724155e-28
geometry_no_feedback,19,0.75,5,0.4,0.45456963777542114,0.8705035971223022,10,dense_top10,1470.1199040767385,saving_target,-0.013417765787370105,-0.03423268528034715,-0.023327052643599404,-0.009592326139088728,-0.03836930455635491,-0.023980815347721823,10,407,0,0.001953125,0.8465227817745803,geometry_no_feedback,0,geometry_no_feedback:r0.75:m5:c0.40,1321.2853717026378,-0.0029490693159757906,-0.00964554892915896,False,0.0,417,10.0,100k,-118.47595923261393,-184.91690647482017,-148.83453237410072,0,137,10,0.328537170263789,0.8987602766540519,181.6459232613909,118.52260191846523,148.83453237410072,10.12397233459481,1.0465730454129302e-26
geometry_no_feedback,13,0.75,7,0.6,0.37102270126342773,0.8705035971223022,10,dense_top10,1470.1199040767385,saving_target,-0.017354307030566025,-0.03643097426820448,-0.02665676982223745,-0.009592326139088728,-0.03836930455635491,-0.023980815347721823,10,407,0,0.001953125,0.8465227817745803,geometry_no_feedback,0,geometry_no_feedback:r0.75:m7:c0.60,1270.0263788968825,-0.002624567013056222,-0.01195415205307718,False,0.0,417,15.0,100k,-173.48663069544367,-230.87607913669063,-200.0935251798561,0,243,10,0.5827338129496403,0.8638930575492628,228.94802158273382,175.54676258992805,200.0935251798561,13.610694245073718,1.4224798961661648e-51
geometry_no_feedback,17,0.75,7,0.6,0.3576866388320923,0.8705035971223022,9,dense_top10,1470.1199040767385,saving_target,-0.01778936374709756,-0.0375039254310837,-0.027044079022496288,-0.009592326139088728,-0.03597122302158273,-0.02158273381294964,9,408,0,0.00390625,0.8489208633093526,geometry_no_feedback,0,geometry_no_feedback:r0.75:m7:c0.60,1264.609112709832,-0.0023581135091926457,-0.01254841321817463,False,0.0,417,15.0,100k,-179.2076139088729,-236.8386690647482,-205.5107913669065,0,243,9,0.5827338129496403,0.860208143024925,234.45317745803354,179.17272182254197,205.5107913669065,13.979185697507502,2.2942116780866648e-51
