scale,method_label,method_run_id,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,token_saving_ci_low,token_saving_ci_high,token_saving_wilcoxon_p_greater,method_only_hits,baseline_only_hits,mcnemar_p_two_sided,baseline_run_id,baseline_tokens_mean,budget_ratio,budget_target_run_id,comparison,compressor,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_losses,hit_ties,hit_wins,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,source_group,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_mean
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.85,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.02158273381294964,False,0.7922435730131802,20.775642698681985,262.6102517985612,348.52637889688253,1.0958869378914289e-48,10,11,1.0,dense,1470.1199040767385,0.85,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.002924069462149355,-0.04961631045961856,-0.02567624359983576,11,396,10,1164.693045563549,0.009279243272049027,-0.017828713987575184,0.01,intentweight,-263.50623501199044,-348.7399880095923,-305.4268585131895,7,356,10,0.8705035971223022,305.4268585131895
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.85,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.7860482187132978,21.395178128670224,266.7452637889688,360.9149880095923,1.071099287423269e-50,7,9,0.803619384765625,dense,1470.1199040767385,0.85,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.010162181868179153,-0.05235793258213253,-0.03149777684942656,9,401,7,1155.5851318944844,0.008989950896425717,-0.01936240091260671,0.01,intentweight,-267.70989208633097,-363.0778177458034,-314.5347721822542,7,353,8,0.8633093525179856,314.5347721822542
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.85,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.03117505995203837,False,0.8046864804906695,19.53135195093305,249.42122302158273,324.011690647482,4.827248050230014e-48,14,11,0.6900379657745361,dense,1470.1199040767385,0.85,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_dense,selective_context_lite,0.003053675025347661,-0.045002645070091114,-0.02106850122230921,11,392,14,1182.9856115107914,0.0255405199649804,-0.010880343802186084,0.01,intentweight,-248.91594724220624,-323.9696043165468,-287.13429256594725,12,340,11,0.8441247002398081,287.13429256594725
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.90,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.8376810648571056,16.231893514289442,196.4138489208633,281.59568345323737,3.2209095776516157e-40,10,11,1.0,dense,1470.1199040767385,0.9,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.0029641633013935374,-0.04893567986333429,-0.02567624359983576,11,396,10,1231.4916067146282,0.009279243272049027,-0.017828713987575184,0.01,intentweight,-194.54244604316546,-283.6556954436451,-238.62829736211032,7,335,9,0.8201438848920863,238.62829736211032
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.90,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.8312834399060421,16.871656009395785,203.10791366906474,294.2546762589928,9.149677964671597e-42,7,9,0.803619384765625,dense,1470.1199040767385,0.9,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.01113645279477272,-0.05218770758881772,-0.03149777684942656,9,401,7,1222.086330935252,0.008989950896425717,-0.01936240091260671,0.01,intentweight,-203.23932853717025,-296.08387290167866,-248.0335731414868,6,338,8,0.8249400479616307,248.0335731414868
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.90,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.03117505995203837,False,0.8508449693331593,14.915503066684066,178.96828537170265,255.93842925659473,1.6729861824443145e-37,14,11,0.6900379657745361,dense,1470.1199040767385,0.9,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_dense,selective_context_lite,0.002404434975679687,-0.0439241844321229,-0.02106850122230921,11,392,14,1250.8441247002397,0.0255405199649804,-0.010880343802186084,0.01,intentweight,-178.4031774580337,-257.46390887290164,-219.2757793764988,11,319,11,0.7913669064748201,219.2757793764988
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.95,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.8831462873548219,11.685371264517808,127.39526378896882,217.20509592326135,3.7633000528398354e-29,10,11,1.0,dense,1470.1199040767385,0.95,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.0023874852946423656,-0.048611092988573745,-0.02567624359983576,11,396,10,1298.3309352517986,0.009279243272049027,-0.017828713987575184,0.01,intentweight,-128.59868105515588,-216.77314148681052,-171.78896882494004,6,312,9,0.762589928057554,171.78896882494004
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.95,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.8758025577450086,12.41974422549914,132.91294964028782,227.45509592326138,4.718832761165795e-30,7,9,0.803619384765625,dense,1470.1199040767385,0.95,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.010564804612497501,-0.05146156559600804,-0.03149777684942656,9,401,7,1287.5347721822543,0.008989950896425717,-0.01936240091260671,0.01,intentweight,-134.54688249400482,-231.56336930455635,-182.58513189448442,5,312,8,0.7601918465227818,182.58513189448442
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.95,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.014448441247002293,0.03117505995203837,False,0.8961666449171344,10.383335508286562,111.15605515587532,190.81948441247002,2.2569184603743853e-25,14,11,0.6900379657745361,dense,1470.1199040767385,0.95,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_dense,selective_context_lite,0.003002517899100621,-0.044992708438115904,-0.02106850122230921,11,392,14,1317.4724220623502,0.0255405199649804,-0.010880343802186084,0.01,intentweight,-110.75017985611512,-189.070623501199,-152.6474820143885,9,297,11,0.7338129496402878,152.6474820143885
100k,dense_top10_selective_context,dense:selective_context_r0.75,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.7481208404019314,25.187915959806862,350.9124100719425,391.5753597122302,2.2760058271668822e-70,0,0,1.0,dense,1470.1199040767385,0.75,dense,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1099.8273381294964,0.0,0.0,0.01,dense,-350.8391486810552,-389.88447242206234,-370.2925659472422,0,417,0,1.0,370.2925659472422
100k,dense_top10_selective_context,dense:selective_context_r0.85,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8468827482709123,15.311725172908774,213.94892086330935,237.37751798561152,2.274812481421129e-70,0,0,1.0,dense,1470.1199040767385,0.85,dense,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1245.0191846522782,0.0,0.0,0.01,dense,-213.65407673860912,-237.45959232613907,-225.10071942446044,0,417,0,1.0,225.10071942446044
100k,dense_top10_selective_context,dense:selective_context_r0.90,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8957588411849147,10.424115881508534,145.56576738609112,161.17577937649878,2.272537997511628e-70,0,0,1.0,dense,1470.1199040767385,0.9,dense,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1316.8729016786572,0.0,0.0,0.01,dense,-145.39760191846523,-161.59154676258993,-153.24700239808155,0,417,0,1.0,153.24700239808155
