selector,split,budget_ratio,min_keep,target_coverage,final_hit@10,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,actual_coverage,source_selective_risk,dense_selective_risk,hit_delta_vs_source_pp,num_seeds,saving_target_pct,token_saving_vs_source_pct
geometry_no_feedback,calibration,0.75,5,0.4,0.8435754189944135,-1.6759776536312814,10.053446148688934,0.4022346368715084,0.05488215488215488,0.05488215488215488,-1.6759776536312814,3,10.0,10.053446148688934
geometry_no_feedback,test,0.75,5,0.4,0.8457234212629896,-2.478017585931258,10.137674539997384,0.36370903277378097,0.08895730706075534,0.08895730706075534,-2.478017585931258,3,10.0,10.137674539997384
geometry_no_feedback,calibration,0.75,7,0.6,0.851024208566108,-0.9310986964618221,15.038770826795922,0.6033519553072626,0.019157088122605363,0.019157088122605363,-0.9310986964618221,3,15.0,15.038770826795922
geometry_no_feedback,test,0.75,7,0.6,0.8473221422861711,-2.3181454836131135,13.72477054243333,0.60431654676259,0.04626178974005061,0.04626178974005061,-2.3181454836131135,3,15.0,13.72477054243333
geometry_no_feedback,calibration,0.85,7,0.9,0.8528864059590316,-0.7448789571694555,19.955035166582867,0.9050279329608939,0.00966183574879227,0.00966183574879227,-0.7448789571694555,3,20.0,19.955035166582867
geometry_no_feedback,test,0.85,7,0.9,0.8561151079136691,-1.4388489208633115,17.54442341989647,0.8952837729816147,0.018658938191598397,0.018658938191598397,-1.4388489208633115,3,20.0,17.54442341989647
random_feedback,calibration,0.8,7,0.2,0.8566108007448789,-0.37243947858472587,5.112103328380654,0.2011173184357542,0.019624819624819625,0.019624819624819625,-0.37243947858472587,3,5.0,5.112103328380654
random_feedback,test,0.8,7,0.2,0.8673061550759392,-0.3197442046362964,5.1511592500761205,0.2070343725019984,0.016523867809057527,0.016523867809057527,-0.3197442046362964,3,5.0,5.1511592500761205
random_feedback,calibration,0.75,5,0.3,0.8491620111731844,-1.117318435754185,9.982495472641148,0.3016759776536313,0.039874616513271975,0.039874616513271975,-1.117318435754185,3,10.0,9.982495472641148
random_feedback,test,0.75,5,0.3,0.8601119104716227,-1.0391686650679504,10.585388664143712,0.3165467625899281,0.03505685688123881,0.03505685688123881,-1.0391686650679504,3,10.0,10.585388664143712
random_feedback,calibration,0.8,5,0.5,0.8472998137802608,-1.3035381750465518,15.00398861260553,0.5027932960893855,0.028458957782348908,0.028458957782348908,-1.3035381750465518,3,15.0,15.00398861260553
random_feedback,test,0.8,5,0.5,0.8561151079136691,-1.4388489208633115,14.23713515159423,0.5019984012789768,0.031597416618063645,0.031597416618063645,-1.4388489208633115,3,15.0,14.23713515159423
random_feedback,calibration,0.88,6,0.9,0.851024208566108,-0.9310986964618221,19.98288614243821,0.9050279329608939,0.011688521936214991,0.011688521936214991,-0.9310986964618221,3,20.0,19.98288614243821
random_feedback,test,0.88,6,0.9,0.8537170263788969,-1.6786570743405282,17.943255470007387,0.9192645883293366,0.020939724198692986,0.020939724198692986,-1.6786570743405282,3,20.0,17.943255470007387
random_no_feedback,calibration,0.9,7,0.2,0.8603351955307262,0.0,5.136425673810892,0.2011173184357542,0.0,0.0,0.0,3,5.0,5.136425673810892
random_no_feedback,test,0.9,7,0.2,0.8673061550759392,-0.3197442046362964,3.613576058114746,0.1894484412470024,0.018648930620761606,0.018648930620761606,-0.3197442046362964,3,5.0,3.613576058114746
random_no_feedback,calibration,0.8,8,0.5,0.8566108007448789,-0.37243947858472587,9.986402170611811,0.5027932960893855,0.00895863395863396,0.00895863395863396,-0.37243947858472587,3,10.0,9.986402170611811
random_no_feedback,test,0.8,8,0.5,0.8601119104716227,-1.0391686650679504,8.975433903171071,0.5115907274180655,0.02383887955650236,0.02383887955650236,-1.0391686650679504,3,10.0,8.975433903171071
random_no_feedback,calibration,0.8,8,0.8,0.8491620111731844,-1.1173184357541888,15.046836267767604,0.8044692737430168,0.01600898049761686,0.01600898049761686,-1.1173184357541888,3,15.0,15.046836267767604
random_no_feedback,test,0.8,8,0.8,0.8553157474020784,-1.5187849720223838,13.018835095045455,0.771382893685052,0.022775712515489467,0.022775712515489467,-1.5187849720223838,3,15.0,13.018835095045455
random_no_feedback,calibration,0.88,5,0.9,0.851024208566108,-0.9310986964618221,20.05774351645665,0.9050279329608939,0.011791773111113442,0.011791773111113442,-0.9310986964618221,3,20.0,20.05774351645665
