protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
calibration_to_test,13,generalized_conservative_budget,1235,,9,0.5959514170040486,-0.011336032388663875,0.0,,,237.9732793522267,0.915943627909296,8.405637209070404
calibration_to_test,13,generalized_full_context,1235,,9,0.6032388663967612,-0.004048582995951344,0.0072874493927125306,,,244.765991902834,0.9420883353902539,5.7911664609746065
same_query_retry,17,budgeted_before_feedback,,58,,0.0,,,0,0,238.01724137931035,0.8092976902333215,19.070230976667844
same_query_retry,17,same_arm_boost,,58,,0.06896551724137931,,,4,0,238.4655172413793,0.8108219017469808,18.917809825301923
same_query_retry,17,same_arm_boost_conservative,,58,,0.06896551724137931,,,4,0,243.22413793103448,0.8270019931996716,17.29980068003284
same_query_retry,17,same_full_context,,58,,0.2413793103448276,,,14,0,271.7586206896552,0.9240239183960605,7.597608160393953
same_query_retry_compression_only,17,budgeted_before_feedback,,41,,0.0,,,0,0,222.70731707317074,0.9012930609021815,9.870693909781847
same_query_retry_compression_only,17,same_arm_boost,,41,,0.2682926829268293,,,11,0,223.73170731707316,0.9054387523442897,9.456124765571028
same_query_retry_compression_only,17,same_arm_boost_conservative,,41,,0.2926829268292683,,,12,0,227.21951219512195,0.9195538446352779,8.044615536472211
same_query_retry_compression_only,17,same_full_context,,41,,0.6097560975609756,,,25,0,243.7560975609756,0.9864771493435989,1.352285065640113
same_query_retry_all_queries,17,budgeted_before_feedback,1765,,0,0.5966005665722379,-0.001133144475920722,0.0,,,235.66118980169972,0.9077243712150146,9.22756287849854
same_query_retry_all_queries,17,same_arm_boost,1765,,0,0.5988668555240794,0.001133144475920722,0.002266288951841444,,,235.67592067988667,0.9077811118991762,9.22188881008238
same_query_retry_all_queries,17,same_arm_boost_conservative,1765,,0,0.5988668555240794,0.001133144475920722,0.002266288951841444,,,235.83229461756375,0.9083834360848929,9.161656391510709
same_query_retry_all_queries,17,same_full_context,1765,,0,0.6045325779036828,0.0067988668555241105,0.007932011331444833,,,236.7699716713881,0.9119951988651864,8.800480113481356
calibration_to_test,17,budgeted_before_feedback,1235,,7,0.6008097165991902,-0.006477732793522262,0.0,,,236.3417004048583,0.9096637869778227,9.033621302217732
calibration_to_test,17,generalized_arm_boost,1235,,7,0.5959514170040486,-0.011336032388663875,-0.004858299595141613,,,236.13927125506072,0.9088846503858284,9.111534961417156
calibration_to_test,17,generalized_arm_boost_conservative,1235,,7,0.5975708502024292,-0.009716599190283337,-0.0032388663967610754,,,237.3004048582996,0.9133537778775073,8.664622212249274
calibration_to_test,17,generalized_conservative_budget,1235,,7,0.6008097165991902,-0.006477732793522262,0.0,,,237.1919028340081,0.9129361606641984,8.706383933580163
calibration_to_test,17,generalized_full_context,1235,,7,0.6040485829959514,-0.0032388663967610754,0.0032388663967611864,,,243.2178137651822,0.9361294987346822,6.387050126531779
same_query_retry,19,budgeted_before_feedback,,59,,0.0,,,0,0,238.64406779661016,0.8485505936238171,15.144940637618287
same_query_retry,19,same_arm_boost,,59,,0.0847457627118644,,,5,0,238.40677966101694,0.8477068643403844,15.229313565961554
same_query_retry,19,same_arm_boost_conservative,,59,,0.1016949152542373,,,6,0,244.01694915254237,0.8676550352558307,13.234496474416934
same_query_retry,19,same_full_context,,59,,0.2711864406779661,,,16,0,272.33898305084745,0.9683601518712709,3.163984812872911
same_query_retry_compression_only,19,budgeted_before_feedback,,44,,0.0,,,0,0,235.0909090909091,0.9152362413732082,8.476375862679175
same_query_retry_compression_only,19,same_arm_boost,,44,,0.36363636363636365,,,16,0,235.77272727272728,0.9178906388249867,8.210936117501333
same_query_retry_compression_only,19,same_arm_boost_conservative,,44,,0.38636363636363635,,,17,0,238.1818181818182,0.9272695098212705,7.273049017872946
same_query_retry_compression_only,19,same_full_context,,44,,0.6363636363636364,,,28,0,258.3181818181818,1.005662714563794,-0.5662714563793969
same_query_retry_all_queries,19,budgeted_before_feedback,1765,,0,0.5949008498583569,-0.0028328611898017497,0.0,,,236.79603399433427,0.9120955862294724,8.79044137705276
same_query_retry_all_queries,19,same_arm_boost,1765,,0,0.5977337110481586,0.0,0.0028328611898017497,,,236.78810198300283,0.9120650335533854,8.793496644661458
same_query_retry_all_queries,19,same_arm_boost_conservative,1765,,0,0.598300283286119,0.0005665722379603055,0.0033994334277620553,,,236.9756373937677,0.9127873861094441,8.72126138905559
same_query_retry_all_queries,19,same_full_context,1765,,0,0.6039660056657223,0.006232294617563694,0.009065155807365444,,,237.92237960339943,0.9164340662338372,8.356593376616283
calibration_to_test,19,budgeted_before_feedback,1235,,12,0.6032388663967612,-0.004048582995951344,0.0,,,237.03562753036437,0.9123346672151788,8.766533278482125
calibration_to_test,19,generalized_arm_boost,1235,,12,0.6024291497975709,-0.004858299595141613,-0.0008097165991902688,,,236.9093117408907,0.9118484859817745,8.815151401822552
calibration_to_test,19,generalized_arm_boost_conservative,1235,,12,0.6032388663967612,-0.004048582995951344,0.0,,,238.59595141700404,0.9183402520662702,8.165974793372976
calibration_to_test,19,generalized_conservative_budget,1235,,12,0.6032388663967612,-0.004048582995951344,0.0,,,238.72874493927125,0.9188513656706184,8.114863432938158
calibration_to_test,19,generalized_full_context,1235,,12,0.6080971659919029,0.0008097165991903799,0.004858299595141724,,,247.8089068825911,0.953800316641111,4.6199683358889025
